Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,73700,81600,89000,104400,119700,145000,184200,195100,217700,229900,277500,323000,504700,537500,591200,747000,841900,922500,1024800
2,75800,84000,91900,107700,123400,149600,189300,200800,224300,236900,285700,332900,519700,553300,608700,769400,867500,,
3,78300,86500,94800,111000,127100,154100,195100,207000,230700,243900,294400,342800,535400,570200,627300,792500,893200,,
4,80800,89000,97600,114300,130800,158600,200800,213200,237700,251300,303400,352900,551500,587500,646000,816200,920000,,
5,83200,91900,100500,117600,134900,163600,207000,219800,244700,258700,312300,363600,567700,605000,665400,840700,,,
6,85700,94800,103200,121300,139000,168500,213200,226200,252100,266600,321800,374700,585000,623200,685400,866200,,,
7,88200,97600,106500,125000,143200,173500,219800,233200,259600,274600,331700,385800,602600,641900,706000,892000,,,
8,90600,100500,109800,128800,147100,178800,226200,240200,267200,282800,341500,397200,620700,661300,727200,918800,,,
9,93500,103200,113100,132500,151600,184200,233200,247600,275400,291500,351600,409100,639000,680800,749000,,,,
10,96400,106500,116400,136600,156100,189300,240200,255000,283700,300100,362400,421500,658400,701400,771500,,,,
11,99300,109800,120100,140700,160700,195100,247600,262900,292300,309000,373500,434000,677900,722200,794500,,,,
12,102200,113100,123800,144600,165600,200800,255000,270500,301000,318500,384600,447200,698500,744100,818200,,,,
13,104900,116400,127500,149100,170600,207000,262900,278700,309800,328000,395900,460800,719400,766100,842700,,,,
14,108200,120100,131200,153700,175500,213200,270500,287000,319300,337800,407900,474600,741200,789200,868300,,,,
15,111400,123800,135300,158200,180900,219800,278700,295600,328800,348100,420200,489000,763200,812900,894500,,,,
16,114700,127500,139500,163200,186000,226200,287000,304700,338700,358200,432800,503900,786300,837200,,,,,
17,118000,131200,143400,168100,191800,233200,295600,313500,348800,368900,446000,518900,810000,862100,,,,,
18,121700,135300,147900,173000,197600,240200,304700,323000,359500,380100,459600,534600,834300,887900,,,,,
19,125500,139500,152400,178400,203300,247600,313500,332900,370200,391400,473400,550600,859200,,,,,,
20,129200,143400,157000,183800,209500,255000,323000,342800,381300,403300,487800,566900,885000,,,,,,
21,132900,147900,161500,188900,215700,262900,332900,352900,392600,415700,502600,583800,,,,,,,
22,137000,152400,166400,194700,222300,270500,342800,363600,404600,428100,517700,601300,,,,,,,
23,141100,157000,171400,200400,228700,278700,352900,374700,416900,440600,533300,619400,,,,,,,
24,145000,161500,176700,206600,235700,287000,363600,385800,429700,453800,549400,637800,,,,,,,
25,149600,166400,182100,212800,242700,295600,374700,397200,442300,467400,565700,657100,,,,,,,
26,154100,171400,187300,219400,250100,304700,385800,409100,455500,481200,582600,676700,,,,,,,
27,158600,176700,193000,225800,257500,313500,397200,421500,469100,495600,600100,697300,,,,,,,
28,163600,182100,198800,232800,265300,323000,409100,434000,482900,510500,618200,718100,,,,,,,
29,168500,187300,205000,239800,273000,332900,421500,447200,497300,525500,636500,740000,,,,,,,
30,173500,193000,211200,247200,281200,342800,434000,460800,512100,541200,655900,762000,,,,,,,
31,178800,198800,217300,254600,289800,352900,447200,474600,527200,557400,675700,785100,,,,,,,
32,184200,205000,223900,262400,298500,363600,460800,489000,543200,574300,695700,808300,,,,,,,
33,189300,211200,230300,270100,307400,374700,474600,503900,559500,591600,716700,832700,,,,,,,
34,195100,217300,237300,278300,316800,385800,489000,518900,576400,609100,737900,857600,,,,,,,
35,200800,223900,244300,286500,326300,397200,503900,534600,593700,627700,759900,,,,,,,,
36,207000,230300,251700,295200,336200,409100,518900,550600,611200,646400,783000,,,,,,,,
37,213200,237300,259100,304300,346500,421500,534600,566900,629700,665800,806300,,,,,,,,
38,219800,244300,266800,313100,356600,434000,550600,583800,648500,685800,830600,,,,,,,,
39,226200,251700,275000,322600,367300,447200,566900,601300,667900,706400,855500,,,,,,,,
40,233200,259100,283200,332500,378400,460800,583800,619400,687800,727600,,,,,,,,,
