Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,73000,80800,88100,103400,118500,143600,182400,193200,215600,227700,274800,319900,499800,532200,585500,739700,833700,913500,1014900
2,75100,83200,91000,106700,122200,148100,187500,198900,222200,234600,282900,329700,514700,547900,602800,761900,859000,,
3,77500,85700,93800,110000,125900,152600,193200,205000,228500,241500,291500,339500,530200,564700,621200,784800,884500,,
4,80000,88100,96700,113200,129500,157100,198900,211100,235400,248900,300500,349500,546100,581800,639700,808200,911100,,
5,82400,91000,99600,116500,133600,162000,205000,217700,242400,256200,309300,360100,562200,599100,658900,832500,,,
6,84900,93800,102200,120200,137700,166900,211100,224000,249700,264000,318600,371100,579400,617100,678700,857800,,,
7,87300,96700,105500,123800,141800,171800,217700,230900,257000,271900,328400,382100,596700,635700,699100,883300,,,
8,89800,99600,108700,127500,145700,177100,224000,237900,264600,280100,338200,393300,614700,654800,720100,909800,,,
9,92600,102200,112000,131200,150100,182400,230900,245200,272700,288700,348200,405100,632800,674200,741700,,,,
10,95500,105500,115300,135300,154600,187500,237900,252600,280900,297200,358800,417400,652000,694600,764000,,,,
11,98300,108700,118900,139300,159100,193200,245200,260300,289500,306000,369900,429800,671400,715200,786800,,,,
12,101200,112000,122600,143200,164000,198900,252600,267900,298000,315400,380900,442900,691800,736800,810300,,,,
13,103800,115300,126300,147700,168900,205000,260300,276000,306800,324800,392100,456300,712400,758700,834600,,,,
14,107100,118900,129900,152200,173800,211100,267900,284200,316200,334600,403900,470000,734000,781500,859900,,,,
15,110400,122600,134000,156700,179100,217700,276000,292700,325600,344800,416200,484300,755800,805000,885800,,,,
16,113600,126300,138100,161600,184200,224000,284200,301700,335400,354800,428600,499000,778700,829100,,,,,
17,116900,129900,142000,166500,189900,230900,292700,310500,345400,365400,441700,513900,802100,853700,,,,,
18,120600,134000,146500,171400,195600,237900,301700,319900,356000,376400,455100,529400,826200,879200,,,,,
19,124200,138100,151000,176700,201300,245200,310500,329700,366600,387600,468800,545300,850900,,,,,,
20,127900,142000,155400,182000,207500,252600,319900,339500,377600,399400,483100,561400,876400,,,,,,
21,131600,146500,159900,187100,213600,260300,329700,349500,388800,411700,497800,578100,,,,,,,
22,135700,151000,164800,192800,220100,267900,339500,360100,400700,423900,512700,595500,,,,,,,
23,139700,155400,169700,198500,226400,276000,349500,371100,412900,436400,528200,613400,,,,,,,
24,143600,159900,175000,204600,233400,284200,360100,382100,425500,449400,544100,631600,,,,,,,
25,148100,164800,180300,210700,240300,292700,371100,393300,438000,462900,560200,650800,,,,,,,
26,152600,169700,185400,217300,247700,301700,382100,405100,451000,476500,576900,670100,,,,,,,
27,157100,175000,191100,223600,255000,310500,393300,417400,464500,490800,594300,690500,,,,,,,
28,162000,180300,196900,230500,262800,319900,405100,429800,478200,505500,612200,711100,,,,,,,
29,166900,185400,203000,237500,270300,329700,417400,442900,492500,520400,630400,732800,,,,,,,
30,171800,191100,209100,244800,278500,339500,429800,456300,507100,535900,649500,754600,,,,,,,
31,177100,196900,215200,252100,287000,349500,442900,470000,522000,552000,669100,777400,,,,,,,
32,182400,203000,221700,259900,295600,360100,456300,484300,537900,568800,688900,800500,,,,,,,
33,187500,209100,228100,267400,304400,371100,470000,499000,554100,585900,709700,824600,,,,,,,
34,193200,215200,235000,275600,313800,382100,484300,513900,570800,603200,730700,849300,,,,,,,
35,198900,221700,241900,283800,323100,393300,499000,529400,587900,621600,752600,,,,,,,,
36,205000,228100,249300,292300,332900,405100,513900,545300,605300,640200,775400,,,,,,,,
37,211100,235000,256600,301300,343100,417400,529400,561400,623600,659300,798500,,,,,,,,
38,217700,241900,264200,310100,353100,429800,545300,578100,642200,679100,822500,,,,,,,,
39,224000,249300,272300,319500,363700,442900,561400,595500,661400,699500,847200,,,,,,,,
40,230900,256600,280500,329300,374700,456300,578100,613400,681200,720500,,,,,,,,,
