Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,257200,284100,309600,364500,416900,505700,640700,679800,757900,801200,966700,1125200,1757400,1871800,2058500,2601300,2933000,3212000,3569500
2,264300,292600,319500,375800,429900,521300,660000,699600,780500,825500,995300,1159200,1810600,1927800,2120200,2680000,3021000,,
3,272800,301100,329700,387100,442600,537100,679800,721100,804000,849600,1025000,1193400,1864700,1986100,2184200,2759500,3111300,,
4,281300,309600,339600,398500,455300,552700,699600,742300,828300,875000,1056200,1229600,1920200,2045800,2250400,2842700,3203600,,
5,289800,319500,349500,409800,469500,569700,721100,764900,852400,900800,1088100,1266400,1977600,2107500,2317200,2928800,,,
6,298300,329700,360300,422500,483600,586700,742300,788400,877900,927700,1121000,1304900,2037300,2170000,2387400,3016800,,,
7,306800,339600,371600,435500,498100,603600,764900,812500,903600,956800,1154900,1343100,2099000,2236000,2458400,3107100,,,
8,315300,349500,382900,448300,512800,622300,788400,836800,931400,985100,1189200,1383600,2161600,2302800,2533100,3199300,,,
9,325400,360300,394200,461000,528400,640700,812500,862300,959700,1015100,1225400,1424900,2226100,2371800,2608400,,,,
10,335400,371600,405500,475200,544200,660000,836800,888100,988000,1044800,1262200,1467600,2292900,2442900,2687100,,,,
11,345300,382900,418300,489300,559800,679800,862300,914900,1018000,1076800,1300700,1512400,2361900,2515900,2766600,,,,
12,355200,394200,431300,504300,576800,699600,888100,942700,1047700,1109600,1338900,1557600,2433000,2591100,2849800,,,,
13,365900,405500,444000,519900,593700,721100,914900,971000,1079600,1142200,1379300,1604600,2506000,2668700,2935800,,,,
14,377200,418300,456800,535700,611000,742300,942700,999600,1112500,1176400,1420700,1653600,2581200,2748200,3023900,,,,
15,388600,431300,470900,551300,629400,764900,971000,1029300,1145000,1211800,1463400,1703400,2658800,2831400,3115500,,,,
16,399900,444000,485100,568300,648600,788400,999600,1060400,1179300,1248000,1508100,1754600,2738300,2915200,,,,,
17,411200,456800,499500,585200,668400,812500,1029300,1092400,1215500,1285100,1553400,1807800,2821500,3002600,,,,,
18,423900,470900,515600,602200,688300,836800,1060400,1125200,1252300,1323300,1600400,1861900,2905300,3092900,,,,,
19,437000,485100,531200,620900,708100,862300,1092400,1159200,1289300,1363800,1649300,1917000,2992700,,,,,,
20,449700,499500,547000,639300,729600,888100,1125200,1193400,1327600,1405100,1699100,1974800,3082700,,,,,,
21,462400,515600,562600,658500,750800,914900,1159200,1229600,1368000,1447500,1750400,2033100,,,,,,,
22,476600,531200,579600,678400,773400,942700,1193400,1266400,1409300,1490300,1803600,2094800,,,,,,,
23,490700,547000,596600,698200,796900,971000,1229600,1304900,1451800,1535000,1857600,2157300,,,,,,,
24,505700,562600,615200,719700,821300,999600,1266400,1343100,1495900,1580600,1912800,2221800,,,,,,,
25,521300,579600,633600,740900,845300,1029300,1304900,1383600,1540700,1627200,1970500,2288600,,,,,,,
26,537100,596600,652900,763500,870800,1060400,1343100,1424900,1586200,1676500,2028800,2357700,,,,,,,
27,552700,615200,672700,787000,896500,1092400,1383600,1467600,1632900,1726000,2090500,2428700,,,,,,,
28,569700,633600,692500,811100,923400,1125200,1424900,1512400,1682200,1777200,2153100,2501700,,,,,,,
29,586700,652900,714000,835400,951200,1159200,1467600,1557600,1731700,1830400,2217600,2577000,,,,,,,
30,603600,672700,735200,860900,979500,1193400,1512400,1604600,1782900,1884500,2284400,2654500,,,,,,,
31,622300,692500,756500,886400,1009500,1229600,1557600,1653600,1836100,1941900,2352600,2734100,,,,,,,
32,640700,714000,779100,913500,1039200,1266400,1604600,1703400,1891600,2000200,2423000,2815800,,,,,,,
33,660000,735200,802600,941300,1070600,1304900,1653600,1754600,1949000,2060000,2495500,2899600,,,,,,,
34,679800,756500,826900,969600,1104000,1343100,1703400,1807800,2007300,2121700,2569900,2987100,,,,,,,
35,699600,779100,851000,998100,1136500,1383600,1754600,1861900,2067000,2185600,2647500,,,,,,,,
36,721100,802600,876500,1027900,1170500,1424900,1807800,1917000,2128700,2251800,2727000,,,,,,,,
37,742300,826900,902200,1059000,1206100,1467600,1861900,1974800,2192700,2318600,2808800,,,,,,,,
38,764900,851000,929900,1091000,1242400,1512400,1917000,2033100,2258900,2388800,2892500,,,,,,,,
39,788400,876500,958200,1123800,1279400,1557600,1974800,2094800,2325700,2459800,2979700,,,,,,,,
40,812500,902200,986500,1157800,1317600,1604600,2033100,2157300,2395900,2534500,,,,,,,,,
