Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,85300,94300,102900,120900,138400,167800,212800,225600,251700,265900,320900,373500,583500,621400,683500,863600,973600,1066500,1185000
2,87700,97200,106200,124700,142700,173000,219000,232300,259300,274000,330400,384900,601000,639900,703900,889700,1003000,,
3,90500,100000,109500,128500,146900,178200,225600,239400,266900,282000,340300,396300,619000,659300,725200,916200,1032800,,
4,93400,102900,112800,132200,151200,183400,232300,246500,274900,290600,350800,408100,637500,679200,747000,943700,1063700,,
5,96200,106200,116100,136000,155900,189100,239400,254100,283000,299100,361200,420400,656500,699600,769300,972200,,,
6,99100,109500,119400,140300,160700,194800,246500,261600,291500,308100,372100,433200,676400,720500,792500,1001600,,,
7,101900,112800,123200,144600,165400,200500,254100,269700,300000,317600,383500,446000,696800,742300,816200,1031400,,,
8,104800,116100,127000,148800,170200,206700,261600,277800,309000,327100,394800,459300,717600,764600,840900,1062200,,,
9,108100,119400,130800,153100,175400,212800,269700,286300,318500,337000,406700,473100,739000,787300,866000,,,,
10,111400,123200,134600,157800,180600,219000,277800,294800,328000,347000,419000,487300,761200,811000,892100,,,,
11,114700,127000,138900,162600,185800,225600,286300,303800,338000,357400,431800,502000,784000,835200,918600,,,,
12,118000,130800,143100,167300,191500,232300,294800,312800,347900,368300,444600,517100,807700,860300,946100,,,,
13,121300,134600,147400,172500,197200,239400,303800,322300,358300,379200,457900,532800,831900,885900,974500,,,,
14,125100,138900,151700,177800,202900,246500,312800,331800,369200,390600,471600,548900,857000,912400,1003900,,,,
15,128900,143100,156400,183000,209000,254100,322300,341800,380100,402400,485800,565500,882600,939900,1034300,,,,
16,132700,147400,161200,188700,215200,261600,331800,352200,391500,414300,500500,582500,909100,967900,,,,,
17,136500,151700,165900,194300,221800,269700,341800,362600,403400,426600,515700,600100,936600,996800,,,,,
18,140800,156400,171100,200000,228500,277800,352200,373500,415700,439400,531400,618100,964600,1026700,,,,,
19,145000,161200,176300,206200,235100,286300,362600,384900,428000,452700,547500,636600,993500,,,,,,
20,149300,165900,181500,212400,242200,294800,373500,396300,440800,466400,564100,655500,1023400,,,,,,
21,153600,171100,186800,218500,249300,303800,384900,408100,454100,480600,581100,675000,,,,,,,
22,158300,176300,192400,225200,256900,312800,396300,420400,467800,494900,598700,695400,,,,,,,
23,163100,181500,198100,231800,264500,322300,408100,433200,482100,509600,616700,716200,,,,,,,
24,167800,186800,204300,238900,272600,331800,420400,446000,496800,524700,635200,737500,,,,,,,
25,173000,192400,210500,246000,280600,341800,433200,459300,511400,540400,654100,759800,,,,,,,
26,178200,198100,216600,253600,289100,352200,446000,473100,526600,556500,673600,782600,,,,,,,
27,183400,204300,223300,261200,297700,362600,459300,487300,542300,573100,693900,806300,,,,,,,
28,189100,210500,229900,269200,306700,373500,473100,502000,558400,590100,714800,830400,,,,,,,
29,194800,216600,237000,277300,315700,384900,487300,517100,575000,607700,736100,855600,,,,,,,
30,200500,223300,244100,285800,325200,396300,502000,532800,592000,625700,758400,881200,,,,,,,
31,206700,229900,251200,294400,335100,408100,517100,548900,609600,644600,781200,907700,,,,,,,
32,212800,237000,258800,303400,345100,420400,532800,565500,628000,664100,804400,934700,,,,,,,
33,219000,244100,266400,312400,355500,433200,548900,582500,647000,684000,828600,962700,,,,,,,
34,225600,251200,274400,321800,366400,446000,565500,600100,666400,704400,853200,991600,,,,,,,
35,232300,258800,282500,331300,377300,459300,582500,618100,686400,725700,878800,,,,,,,,
36,239400,266400,291000,341300,388700,473100,600100,636600,706700,747500,905300,,,,,,,,
37,246500,274400,299600,351700,400500,487300,618100,655500,728100,769800,932400,,,,,,,,
38,254100,282500,308600,362100,412400,502000,636600,675000,749900,793000,960300,,,,,,,,
39,261600,291000,318100,373000,424700,517100,655500,695400,772100,816700,989200,,,,,,,,
40,269700,299600,327500,384400,437500,532800,675000,716200,795400,841400,,,,,,,,,
