Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,56000,61900,67700,79500,90900,110300,139800,148200,165400,174700,210900,245400,383400,408300,449100,567400,639700,700800,778600
2,57600,63900,69800,82000,93800,113700,143900,152700,170400,180100,217100,252900,394900,420500,462500,584600,659100,,
3,59400,65700,72000,84500,96500,117100,148200,157300,175400,185300,223600,260400,406700,433200,476500,602000,678600,,
4,61400,67700,74100,86800,99300,120500,152700,162000,180600,191000,230600,268100,418900,446200,490800,620100,699000,,
5,63200,69800,76300,89300,102400,124200,157300,167000,186000,196500,237400,276200,431400,459700,505500,638900,,,
6,65200,72000,78400,92200,105600,128000,162000,171800,191500,202400,244500,284600,444500,473500,520700,658200,,,
7,66900,74100,80900,95000,108700,131700,167000,177200,197100,208700,252000,293000,457900,487800,536300,677700,,,
8,68900,76300,83400,97700,111900,135900,171800,182600,203000,215000,259400,301800,471500,502500,552600,697900,,,
9,71100,78400,85900,100600,115300,139800,177200,188100,209300,221400,267200,310900,485600,517300,569000,,,,
10,73200,80900,88400,103600,118700,143900,182600,193700,215500,228000,275300,320200,500100,532900,586200,,,,
11,75400,83400,91300,106900,122100,148200,188100,199600,222100,234800,283700,329900,515200,548800,603600,,,,
12,77500,85900,94000,109900,125800,152700,193700,205500,228600,242000,292100,339700,530700,565300,621700,,,,
13,79700,88400,96800,113300,129600,157300,199600,211800,235400,249200,300900,350100,546700,582100,640300,,,,
14,82200,91300,99700,116700,133400,162000,205500,218000,242500,256700,309800,360700,563100,599600,659600,,,,
15,84700,94000,102700,120300,137300,167000,211800,224600,249700,264400,319300,371600,580000,617600,679700,,,,
16,87200,96800,106000,124000,141400,171800,218000,231400,257200,272300,328800,382700,597300,636000,,,,,
17,89700,99700,109000,127600,145700,177200,224600,238200,265100,280300,338800,394300,615400,655000,,,,,
18,92500,102700,112400,131400,150200,182600,231400,245400,273200,288700,349200,406200,633800,674700,,,,,
19,95200,106000,115800,135500,154500,188100,238200,252900,281200,297500,359800,418300,652800,,,,,,
20,98100,109000,119200,139600,159100,193700,245400,260400,289600,306400,370700,430700,672500,,,,,,
21,101000,112400,122800,143600,163800,199600,252900,268100,298400,315800,381800,443600,,,,,,,
22,104000,115800,126400,147900,168800,205500,260400,276200,307300,325200,393400,457000,,,,,,,
23,107200,119200,130100,152300,173800,211800,268100,284600,316800,334700,405300,470600,,,,,,,
24,110300,122800,134200,157000,179000,218000,276200,293000,326500,344800,417400,484600,,,,,,,
25,113700,126400,138400,161600,184400,224600,284600,301800,336000,355100,429800,499200,,,,,,,
26,117100,130100,142300,166600,189900,231400,293000,310900,346000,365700,442700,514300,,,,,,,
27,120500,134200,146800,171700,195600,238200,301800,320200,356400,376600,455900,529800,,,,,,,
28,124200,138400,151100,176900,201600,245400,310900,329900,367000,387700,469700,545600,,,,,,,
29,128000,142300,155700,182200,207500,252900,320200,339700,377900,399300,483700,562200,,,,,,,
30,131700,146800,160400,187800,213700,260400,329900,350100,389000,411200,498300,579100,,,,,,,
31,135900,151100,165000,193500,220200,268100,339700,360700,400600,423500,513400,596400,,,,,,,
32,139800,155700,170000,199400,226800,276200,350100,371600,412800,436400,528600,614100,,,,,,,
33,143900,160400,175100,205300,233600,284600,360700,382700,425100,449500,544500,632600,,,,,,,
34,148200,165000,180300,211400,240800,293000,371600,394300,437800,462900,560600,651600,,,,,,,
35,152700,170000,185600,217700,247900,301800,382700,406200,451100,476900,577500,,,,,,,,
36,157300,175100,191200,224300,255400,310900,394300,418300,464300,491200,594800,,,,,,,,
37,162000,180300,196900,231100,263100,320200,406200,430700,478500,505900,612700,,,,,,,,
38,167000,185600,202800,237900,271000,329900,418300,443600,492800,521100,631000,,,,,,,,
39,171800,191200,209100,245100,279100,339700,430700,457000,507300,536600,649900,,,,,,,,
40,177200,196900,215200,252600,287500,350100,443600,470600,522700,552800,,,,,,,,,
