CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,72000,79600,86800,102000,116800,141600,179600,190400,212400,224400,270800,315200,492400,524400,576800,728800,821600,900000,1000000
2,74000,82000,89600,105200,120400,146000,184800,196000,218800,231200,278800,324800,507200,540000,594000,750800,846400,,
3,76400,84400,92400,108400,124000,150400,190400,202000,225200,238000,287200,334400,522400,556400,612000,773200,871600,,
4,78800,86800,95200,111600,127600,154800,196000,208000,232000,245200,296000,344400,538000,573200,630400,796400,897600,,
5,81200,89600,98000,114800,131600,159600,202000,214400,238800,252400,304800,354800,554000,590400,649200,820400,,,
6,83600,92400,100800,118400,135600,164400,208000,220800,246000,260000,314000,365600,570800,608000,668800,845200,,,
7,86000,95200,104000,122000,139600,169200,214400,227600,253200,268000,323600,376400,588000,626400,688800,870400,,,
8,88400,98000,107200,125600,143600,174400,220800,234400,260800,276000,333200,387600,605600,645200,709600,896400,,,
9,91200,100800,110400,129200,148000,179600,227600,241600,268800,284400,343200,399200,623600,664400,730800,,,,
10,94000,104000,113600,133200,152400,184800,234400,248800,276800,292800,353600,411200,642400,684400,752800,,,,
11,96800,107200,117200,137200,156800,190400,241600,256400,285200,301600,364400,423600,661600,704800,775200,,,,
12,99600,110400,120800,141200,161600,196000,248800,264000,293600,310800,375200,436400,681600,726000,798400,,,,
13,102400,113600,124400,145600,166400,202000,256400,272000,302400,320000,386400,449600,702000,747600,822400,,,,
14,105600,117200,128000,150000,171200,208000,264000,280000,311600,329600,398000,463200,723200,770000,847200,,,,
15,108800,120800,132000,154400,176400,214400,272000,288400,320800,339600,410000,477200,744800,793200,872800,,,,
16,112000,124400,136000,159200,181600,220800,280000,297200,330400,349600,422400,491600,767200,816800,,,,,
17,115200,128000,140000,164000,187200,227600,288400,306000,340400,360000,435200,506400,790400,841200,,,,,
18,118800,132000,144400,168800,192800,234400,297200,315200,350800,370800,448400,521600,814000,866400,,,,,
19,122400,136000,148800,174000,198400,241600,306000,324800,361200,382000,462000,537200,838400,,,,,,
20,126000,140000,153200,179200,204400,248800,315200,334400,372000,393600,476000,553200,863600,,,,,,
21,129600,144400,157600,184400,210400,256400,324800,344400,383200,405600,490400,569600,,,,,,,
22,133600,148800,162400,190000,216800,264000,334400,354800,394800,417600,505200,586800,,,,,,,
23,137600,153200,167200,195600,223200,272000,344400,365600,406800,430000,520400,604400,,,,,,,
24,141600,157600,172400,201600,230000,280000,354800,376400,419200,442800,536000,622400,,,,,,,
25,146000,162400,177600,207600,236800,288400,365600,387600,431600,456000,552000,641200,,,,,,,
26,150400,167200,182800,214000,244000,297200,376400,399200,444400,469600,568400,660400,,,,,,,
27,154800,172400,188400,220400,251200,306000,387600,411200,457600,483600,585600,680400,,,,,,,
28,159600,177600,194000,227200,258800,315200,399200,423600,471200,498000,603200,700800,,,,,,,
29,164400,182800,200000,234000,266400,324800,411200,436400,485200,512800,621200,722000,,,,,,,
30,169200,188400,206000,241200,274400,334400,423600,449600,499600,528000,640000,743600,,,,,,,
31,174400,194000,212000,248400,282800,344400,436400,463200,514400,544000,659200,766000,,,,,,,
32,179600,200000,218400,256000,291200,354800,449600,477200,530000,560400,678800,788800,,,,,,,
33,184800,206000,224800,263600,300000,365600,463200,491600,546000,577200,699200,812400,,,,,,,
34,190400,212000,231600,271600,309200,376400,477200,506400,562400,594400,720000,836800,,,,,,,
35,196000,218400,238400,279600,318400,387600,491600,521600,579200,612400,741600,,,,,,,,
36,202000,224800,245600,288000,328000,399200,506400,537200,596400,630800,764000,,,,,,,,
37,208000,231600,252800,296800,338000,411200,521600,553200,614400,649600,786800,,,,,,,,
38,214400,238400,260400,305600,348000,423600,537200,569600,632800,669200,810400,,,,,,,,
39,220800,245600,268400,314800,358400,436400,553200,586800,651600,689200,834800,,,,,,,,
40,227600,252800,276400,324400,369200,449600,569600,604400,671200,710000,,,,,,,,,
