Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,107500,118600,129400,152000,173900,211000,267700,283600,316400,334500,403600,469900,733800,781700,859600,1086400,1224600,1341600,1490700
2,110400,122200,133600,156900,179600,217600,275500,292300,326300,344600,415800,484200,756000,804900,885500,1119100,1261600,,
3,114000,125800,137600,161500,184800,224100,283600,301000,335800,354800,428200,498700,778700,829500,912400,1152600,1299200,,
4,117600,129400,141900,166300,190400,230600,292300,309900,345900,365600,441300,513300,802000,854300,939600,1187200,1338000,,
5,120900,133600,146100,171000,196200,237800,301000,319800,356000,376100,454300,528700,825900,880000,967800,1223000,,,
6,124500,137600,150400,176700,202200,245100,309900,329200,366500,387500,468100,544800,850900,906100,996900,1259900,,,
7,128100,141900,154900,181900,208000,252300,319800,339400,377400,399300,482200,561300,876400,933600,1026800,1297400,,,
8,131800,146100,159800,187200,213900,260100,329200,349500,388800,411400,496700,577900,902600,961800,1057800,1336300,,,
9,135900,150400,164500,192600,220500,267700,339400,360000,400700,423900,511700,594900,929400,990400,1089300,,,,
10,140300,154900,169400,198600,227000,275500,349500,370900,412500,436400,527100,613000,957700,1020100,1122000,,,,
11,144100,159800,174700,204300,233700,283600,360000,382300,425200,449400,543200,631300,986100,1050700,1155500,,,,
12,148400,164500,180300,210300,240700,292300,370900,393500,437700,463200,559300,650700,1016000,1082000,1190300,,,,
13,152600,169400,185300,216800,248000,301000,382300,405600,450900,476900,575900,670200,1046400,1114600,1225900,,,,
14,157300,174700,190600,223400,255200,309900,393500,417400,464600,491400,593300,690500,1078200,1147900,1263000,,,,
15,162200,180300,196900,230200,263000,319800,405600,429900,478400,506100,611200,711300,1110300,1182300,1301000,,,,
16,167100,185300,202700,237100,270600,329200,417400,442900,492300,521300,629700,732900,1143700,1217400,,,,,
17,171600,190600,208700,244400,279100,339400,429900,456100,507500,536700,648700,754800,1178100,1253800,,,,,
18,177200,196900,215200,251600,287200,349500,442900,469900,522900,552600,668300,777400,1213400,1291400,,,,,
19,182400,202700,221700,259600,295800,360000,456100,484200,538300,569400,688700,800700,1249800,,,,,,
20,187700,208700,228400,267000,304600,370900,469900,498700,554600,586800,709500,824600,1287100,,,,,,
21,193300,215200,234900,274900,313500,382300,484200,513300,571400,604400,730900,849300,,,,,,,
22,199100,221700,242200,283100,323100,393500,498700,528700,588400,622500,753100,874800,,,,,,,
23,205100,228400,249200,291600,332900,405600,513300,544800,606400,640700,775800,901000,,,,,,,
24,211000,234900,256800,300500,342600,417400,528700,561300,624800,660100,799100,927800,,,,,,,
25,217600,242200,264600,309500,352800,429900,544800,577900,643500,679800,823000,955700,,,,,,,
26,224100,249200,272600,319100,363600,442900,561300,594900,662500,700100,847300,984500,,,,,,,
27,230600,256800,280700,328500,374500,456100,577900,613000,682000,720700,872800,1014300,,,,,,,
28,237800,264600,289200,338800,385900,469900,594900,631300,702500,742300,899200,1044700,,,,,,,
29,245100,272600,298100,349000,397100,484200,613000,650700,723300,764400,925800,1076200,,,,,,,
30,252300,280700,307000,359500,409200,498700,631300,670200,744600,787000,954100,1108300,,,,,,,
31,260100,289200,316200,370100,421500,513300,650700,690500,766900,810900,982500,1141700,,,,,,,
32,267700,298100,325600,381700,434000,528700,670200,711300,790200,835500,1012000,1175800,,,,,,,
33,275500,307000,335200,392800,447300,544800,690500,732900,813800,860300,1042200,1210900,,,,,,,
34,283600,316200,345300,404900,461000,561300,711300,754800,838400,886200,1073300,1247300,,,,,,,
35,292300,325600,355500,416700,474800,577900,732900,777400,863200,912800,1105400,,,,,,,,
36,301000,335200,366000,429200,488900,594900,754800,800700,889100,940300,1138900,,,,,,,,
37,309900,345300,376800,442400,503900,613000,777400,824600,916000,968400,1172900,,,,,,,,
38,319800,355500,388200,455400,518600,631300,800700,849300,943200,997500,1207800,,,,,,,,
39,329200,366000,400000,469200,534300,650700,824600,874800,971400,1027400,1244200,,,,,,,,
40,339400,376800,412100,483600,550400,670200,849300,901000,1000600,1058100,,,,,,,,,
