Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,31300,34600,37800,44400,50800,61600,78100,82800,92400,97600,117800,137100,214200,228100,250900,317000,357400,391500,435000
2,32200,35700,39000,45800,52400,63500,80400,85300,95200,100600,121300,141300,220600,234900,258400,326600,368200,,
3,33200,36700,40200,47200,53900,65400,82800,87900,98000,103500,124900,145500,227200,242000,266200,336300,379100,,
4,34300,37800,41400,48500,55500,67300,85300,90500,100900,106700,128800,149800,234000,249300,274200,346400,390500,,
5,35300,39000,42600,49900,57200,69400,87900,93300,103900,109800,132600,154300,241000,256800,282400,356900,,,
6,36400,40200,43800,51500,59000,71500,90500,96000,107000,113100,136600,159000,248300,264500,290900,367700,,,
7,37400,41400,45200,53100,60700,73600,93300,99000,110100,116600,140800,163700,255800,272500,299600,378600,,,
8,38500,42600,46600,54600,62500,75900,96000,102000,113400,120100,144900,168600,263400,280700,308700,389900,,,
9,39700,43800,48000,56200,64400,78100,99000,105100,116900,123700,149300,173700,271300,289000,317900,,,,
10,40900,45200,49400,57900,66300,80400,102000,108200,120400,127400,153800,178900,279400,297700,327500,,,,
11,42100,46600,51000,59700,68200,82800,105100,111500,124100,131200,158500,184300,287800,306600,337200,,,,
12,43300,48000,52500,61400,70300,85300,108200,114800,127700,135200,163200,189800,296500,315800,347300,,,,
13,44500,49400,54100,63300,72400,87900,111500,118300,131500,139200,168100,195600,305400,325200,357700,,,,
14,45900,51000,55700,65200,74500,90500,114800,121800,135500,143400,173100,201500,314600,335000,368500,,,,
15,47300,52500,57400,67200,76700,93300,118300,125500,139500,147700,178400,207600,324000,345000,379700,,,,
16,48700,54100,59200,69300,79000,96000,121800,129300,143700,152100,183700,213800,333700,355300,,,,,
17,50100,55700,60900,71300,81400,99000,125500,133100,148100,156600,189300,220300,343800,365900,,,,,
18,51700,57400,62800,73400,83900,102000,129300,137100,152600,161300,195100,226900,354100,376900,,,,,
19,53200,59200,64700,75700,86300,105100,133100,141300,157100,166200,201000,233700,364700,,,,,,
20,54800,60900,66600,78000,88900,108200,137100,145500,161800,171200,207100,240600,375700,,,,,,
21,56400,62800,68600,80200,91500,111500,141300,149800,166700,176400,213300,247800,,,,,,,
22,58100,64700,70600,82600,94300,114800,145500,154300,171700,181700,219800,255300,,,,,,,
23,59900,66600,72700,85100,97100,118300,149800,159000,177000,187000,226400,262900,,,,,,,
24,61600,68600,75000,87700,100000,121800,154300,163700,182400,192600,233200,270700,,,,,,,
25,63500,70600,77300,90300,103000,125500,159000,168600,187700,198400,240100,278900,,,,,,,
26,65400,72700,79500,93100,106100,129300,163700,173700,193300,204300,247300,287300,,,,,,,
27,67300,75000,82000,95900,109300,133100,168600,178900,199100,210400,254700,296000,,,,,,,
28,69400,77300,84400,98800,112600,137100,173700,184300,205000,216600,262400,304800,,,,,,,
29,71500,79500,87000,101800,115900,141300,178900,189800,211100,223100,270200,314100,,,,,,,
30,73600,82000,89600,104900,119400,145500,184300,195600,217300,229700,278400,323500,,,,,,,
31,75900,84400,92200,108100,123000,149800,189800,201500,223800,236600,286800,333200,,,,,,,
32,78100,87000,95000,111400,126700,154300,195600,207600,230600,243800,295300,343100,,,,,,,
33,80400,89600,97800,114700,130500,159000,201500,213800,237500,251100,304200,353400,,,,,,,
34,82800,92200,100700,118100,134500,163700,207600,220300,244600,258600,313200,364000,,,,,,,
35,85300,95000,103700,121600,138500,168600,213800,226900,252000,266400,322600,,,,,,,,
36,87900,97800,106800,125300,142700,173700,220300,233700,259400,274400,332300,,,,,,,,
37,90500,100700,110000,129100,147000,178900,226900,240600,267300,282600,342300,,,,,,,,
38,93300,103700,113300,132900,151400,184300,233700,247800,275300,291100,352500,,,,,,,,
39,96000,106800,116800,136900,155900,189800,240600,255300,283400,299800,363100,,,,,,,,
40,99000,110000,120200,141100,160600,195600,247800,262900,292000,308800,,,,,,,,,
