Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,34200,37800,41200,48400,55500,67300,85300,90400,100900,106600,128600,149700,233900,249100,274000,346200,390300,427500,475000
2,35200,39000,42600,50000,57200,69400,87800,93100,103900,109800,132400,154300,240900,256500,282200,356600,402000,,
3,36300,40100,43900,51500,58900,71400,90400,96000,107000,113000,136400,158800,248100,264300,290700,367300,414000,,
4,37400,41200,45200,53000,60600,73500,93100,98800,110200,116500,140600,163600,255600,272300,299400,378300,426400,,
5,38600,42600,46600,54500,62500,75800,96000,101800,113400,119900,144800,168500,263200,280400,308400,389700,,,
6,39700,43900,47900,56200,64400,78100,98800,104900,116800,123500,149200,173700,271100,288800,317700,401500,,,
7,40800,45200,49400,58000,66300,80400,101800,108100,120300,127300,153700,178800,279300,297500,327200,413400,,,
8,42000,46600,50900,59700,68200,82800,104900,111300,123900,131100,158300,184100,287700,306500,337100,425800,,,
9,43300,47900,52400,61400,70300,85300,108100,114800,127700,135100,163000,189600,296200,315600,347100,,,,
10,44600,49400,54000,63300,72400,87800,111300,118200,131500,139100,168000,195300,305100,325100,357600,,,,
11,46000,50900,55700,65200,74500,90400,114800,121800,135500,143300,173100,201200,314300,334800,368200,,,,
12,47300,52400,57400,67100,76800,93100,118200,125400,139500,147600,178200,207300,323800,344800,379200,,,,
13,48600,54000,59100,69200,79000,96000,121800,129200,143600,152000,183500,213600,333400,355100,390600,,,,
14,50200,55700,60800,71200,81300,98800,125400,133000,148000,156600,189000,220000,343500,365800,402400,,,,
15,51700,57400,62700,73300,83800,101800,129200,137000,152400,161300,194800,226700,353800,376800,414600,,,,
16,53200,59100,64600,75600,86300,104900,133000,141200,156900,166100,200600,233500,364400,388000,,,,,
17,54700,60800,66500,77900,88900,108100,137000,145400,161700,171000,206700,240500,375400,399600,,,,,
18,56400,62700,68600,80200,91600,111300,141200,149700,166600,176100,213000,247800,386600,411500,,,,,
19,58100,64600,70700,82600,94200,114800,145400,154300,171600,181400,219400,255200,398200,,,,,,
20,59800,66500,72800,85100,97100,118200,149700,158800,176700,187000,226100,262800,410200,,,,,,
21,61600,68600,74900,87600,99900,121800,154300,163600,182000,192700,232900,270600,,,,,,,
22,63500,70700,77100,90200,103000,125400,158800,168500,187500,198400,240000,278700,,,,,,,
23,65400,72800,79400,92900,106000,129200,163600,173700,193200,204200,247200,287100,,,,,,,
24,67300,74900,81900,95800,109200,133000,168500,178800,199100,210300,254600,295600,,,,,,,
25,69400,77100,84400,98600,112500,137000,173700,184100,205000,216600,262200,304600,,,,,,,
26,71400,79400,86800,101600,115900,141200,178800,189600,211100,223100,270000,313700,,,,,,,
27,73500,81900,89500,104700,119300,145400,184100,195300,217400,229700,278200,323200,,,,,,,
28,75800,84400,92200,107900,122900,149700,189600,201200,223800,236600,286500,332900,,,,,,,
29,78100,86800,95000,111200,126500,154300,195300,207300,230500,243600,295100,343000,,,,,,,
30,80400,89500,97800,114600,130300,158800,201200,213600,237300,250800,304000,353200,,,,,,,
31,82800,92200,100700,118000,134300,163600,207300,220000,244300,258400,313100,363800,,,,,,,
32,85300,95000,103700,121600,138300,168500,213600,226700,251800,266200,322400,374700,,,,,,,
33,87800,97800,106800,125200,142500,173700,220000,233500,259400,274200,332100,385900,,,,,,,
34,90400,100700,110000,129000,146900,178800,226700,240500,267100,282300,342000,397500,,,,,,,
35,93100,103700,113200,132800,151200,184100,233500,247800,275100,290900,352300,,,,,,,,
36,96000,106800,116700,136800,155800,189600,240500,255200,283300,299600,362900,,,,,,,,
37,98800,110000,120100,141000,160600,195300,247800,262800,291800,308600,373700,,,,,,,,
38,101800,113200,123700,145200,165300,201200,255200,270600,300600,317900,384900,,,,,,,,
39,104900,116700,127500,149500,170200,207300,262800,278700,309500,327400,396500,,,,,,,,
40,108100,120100,131300,154100,175400,213600,270600,287100,318800,337200,,,,,,,,,
