Year,DA
2006.0,0
2006.5,2
2007.0,6
2007.5,9
2008.0,12
2008.5,16
2009.0,22
2009.5,27
2010.0,35
2010.5,45
2011.0,51
2011.5,58
2012.0,65
2012.5,72.5
2013.0,80
2013.5,90
2014.0,100
2014.5,107
2015.0,113
2015.5,119
