Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,74800,82800,90300,106000,121400,147100,186800,197900,220900,233200,281500,327700,512000,545300,599800,757800,854200,935900,1039800
2,76900,85300,93200,109300,125200,151700,192100,203800,227600,240300,289900,337700,527300,561400,617600,780600,880100,,
3,79400,87800,96100,112700,129000,156300,197900,210000,234100,247500,298700,347800,543200,578500,636400,804000,906200,,
4,81900,90300,99100,116000,132700,160900,203800,216300,241200,255000,307900,358000,559500,596100,655400,828100,933400,,
5,84400,93200,102000,119300,136900,165900,210000,223000,248300,262500,316800,368900,576000,613800,675100,852900,,,
6,86900,96100,104700,123100,141100,171000,216300,229500,255800,270400,326500,380200,593600,632200,695300,878800,,,
7,89500,99100,108100,126900,145300,176000,223000,236600,263300,278600,336500,391500,611300,651200,716200,905000,,,
8,92000,102000,111400,130600,149200,181400,229500,243700,271100,287000,346500,403000,629700,670900,737800,932100,,,
9,94900,104700,114700,134400,153800,186800,236600,251200,279400,295700,356800,415100,648300,690700,759900,,,,
10,97800,108100,118100,138600,158400,192100,243700,258700,287800,304500,367600,427600,668000,711600,782700,,,,
11,100700,111400,121800,142700,163000,197900,251200,266700,296600,313500,378900,440400,687800,732800,806100,,,,
12,103700,114700,125600,146700,168000,203800,258700,274400,305300,323100,390200,453700,708700,754900,830100,,,,
13,106400,118100,129400,151300,173100,210000,266700,282800,314300,332700,401700,467500,729800,777300,855000,,,,
14,109700,121800,133100,155900,178100,216300,274400,291100,324000,342800,413800,481500,752000,800700,880900,,,,
15,113100,125600,137300,160500,183500,223000,282800,299900,333600,353200,426400,496200,774300,824700,907500,,,,
16,116400,129400,141500,165500,188700,229500,291100,309100,343600,363500,439100,511200,797800,849400,,,,,
17,119800,133100,145500,170500,194600,236600,299900,318100,353800,374300,452500,526500,821800,874700,,,,,
18,123500,137300,150100,175600,200400,243700,309100,327700,364700,385600,466300,542400,846400,900800,,,,,
19,127300,141500,154700,181000,206300,251200,318100,337700,375600,397100,480300,558700,871700,,,,,,
20,131000,145500,159300,186400,212600,258700,327700,347800,386900,409200,494900,575200,897900,,,,,,
21,134800,150100,163900,191700,218800,266700,337700,358000,398400,421800,510000,592300,,,,,,,
22,139000,154700,168900,197500,225500,274400,347800,368900,410500,434300,525200,610100,,,,,,,
23,143200,159300,173900,203400,232000,282800,358000,380200,423000,447100,541100,628500,,,,,,,
24,147100,163900,179300,209600,239100,291100,368900,391500,436000,460400,557400,647100,,,,,,,
25,151700,168900,184800,215900,246200,299900,380200,403000,448700,474200,573900,666700,,,,,,,
26,156300,173900,190000,222600,253700,309100,391500,415100,462100,488200,591100,686600,,,,,,,
27,160900,179300,195800,229100,261200,318100,403000,427600,475900,502900,608800,707500,,,,,,,
28,165900,184800,201700,236200,269200,327700,415100,440400,489900,517900,627200,728600,,,,,,,
29,171000,190000,208000,243300,276900,337700,427600,453700,504500,533200,645800,750700,,,,,,,
30,176000,195800,214200,250800,285300,347800,440400,467500,519600,549000,665500,773100,,,,,,,
31,181400,201700,220500,258300,294100,358000,453700,481500,534800,565600,685500,796500,,,,,,,
32,186800,208000,227200,266300,302800,368900,467500,496200,551100,582700,705800,820100,,,,,,,
33,192100,214200,233700,274000,311800,380200,481500,511200,567600,600200,727100,844800,,,,,,,
34,197900,220500,240800,282400,321400,391500,496200,526500,584800,618000,748600,870100,,,,,,,
35,203800,227200,247900,290700,331100,403000,511200,542400,602300,636800,771000,,,,,,,,
36,210000,233700,255400,299500,341100,415100,526500,558700,620100,655800,794400,,,,,,,,
37,216300,240800,262900,308700,351500,427600,542400,575200,638900,675500,818000,,,,,,,,
38,223000,247900,270700,317700,361800,440400,558700,592300,657900,695800,842700,,,,,,,,
39,229500,255400,279000,327300,372600,453700,575200,610100,677600,716700,868000,,,,,,,,
40,236600,262900,287400,337300,383900,467500,592300,628500,697900,738200,,,,,,,,,
