Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,35800,39600,43200,50700,58100,70400,89400,94700,105700,111600,134700,156800,245000,260900,287000,362600,408700,447800,497500
2,36800,40800,44600,52300,59900,72600,91900,97500,108900,115000,138700,161600,252300,268600,295500,373500,421100,,
3,38000,42000,46000,53900,61700,74800,94700,100500,112000,118400,142900,166400,259900,276800,304500,384700,433600,,
4,39200,43200,47400,55500,63500,77000,97500,103500,115400,122000,147300,171300,267700,285200,313600,396200,446600,,
5,40400,44600,48800,57100,65500,79400,100500,106700,118800,125600,151600,176500,275600,293700,323000,408100,,,
6,41600,46000,50100,58900,67500,81800,103500,109800,122400,129400,156200,181900,284000,302500,332700,420500,,,
7,42800,47400,51700,60700,69500,84200,106700,113200,126000,133300,161000,187300,292500,311600,342700,433000,,,
8,44000,48800,53300,62500,71400,86800,109800,116600,129700,137300,165800,192800,301300,321000,353000,446000,,,
9,45400,50100,54900,64300,73600,89400,113200,120200,133700,141500,170700,198600,310200,330500,363600,,,,
10,46800,51700,56500,66300,75800,91900,116600,123800,137700,145700,175900,204600,319600,340500,374500,,,,
11,48200,53300,58300,68300,78000,94700,120200,127600,141900,150000,181300,210700,329100,350600,385700,,,,
12,49600,54900,60100,70200,80400,97500,123800,131300,146100,154600,186700,217100,339100,361200,397200,,,,
13,50900,56500,61900,72400,82800,100500,127600,135300,150400,159200,192200,223700,349200,371900,409100,,,,
14,52500,58300,63700,74600,85200,103500,131300,139300,155000,164000,198000,230400,359800,383100,421500,,,,
15,54100,60100,65700,76800,87800,106700,135300,143500,159600,169000,204000,237400,370500,394600,434200,,,,
16,55700,61900,67700,79200,90300,109800,139300,147900,164400,173900,210100,244600,381700,406400,,,,,
17,57300,63700,69600,81600,93100,113200,143500,152200,169300,179100,216500,251900,393200,418500,,,,,
18,59100,65700,71800,84000,95900,116600,147900,156800,174500,184500,223100,259500,405000,431000,,,,,
19,60900,67700,74000,86600,98700,120200,152200,161600,179700,190000,229800,267300,417100,,,,,,
20,62700,69600,76200,89200,101700,123800,156800,166400,185100,195800,236800,275200,429600,,,,,,
21,64500,71800,78400,91700,104700,127600,161600,171300,190600,201800,244000,283400,,,,,,,
22,66500,74000,80800,94500,107900,131300,166400,176500,196400,207800,251300,291900,,,,,,,
23,68500,76200,83200,97300,111000,135300,171300,181900,202400,213900,258900,300700,,,,,,,
24,70400,78400,85800,100300,114400,139300,176500,187300,208600,220300,266700,309600,,,,,,,
25,72600,80800,88400,103300,117800,143500,181900,192800,214700,226900,274600,319000,,,,,,,
26,74800,83200,90900,106500,121400,147900,187300,198600,221100,233600,282800,328500,,,,,,,
27,77000,85800,93700,109600,125000,152200,192800,204600,227700,240600,291300,338500,,,,,,,
28,79400,88400,96500,113000,128800,156800,198600,210700,234400,247800,300100,348600,,,,,,,
29,81800,90900,99500,116400,132500,161600,204600,217100,241400,255100,309000,359200,,,,,,,
30,84200,93700,102500,120000,136500,166400,210700,223700,248600,262700,318400,369900,,,,,,,
31,86800,96500,105500,123600,140700,171300,217100,230400,255900,270600,328000,381100,,,,,,,
32,89400,99500,108700,127400,144900,176500,223700,237400,263700,278800,337700,392400,,,,,,,
33,91900,102500,111800,131100,149200,181900,230400,244600,271600,287200,347900,404200,,,,,,,
34,94700,105500,115200,135100,153800,187300,237400,251900,279800,295700,358200,416300,,,,,,,
35,97500,108700,118600,139100,158400,192800,244600,259500,288200,304700,368900,,,,,,,,
36,100500,111800,122200,143300,163200,198600,251900,267300,296700,313800,380100,,,,,,,,
37,103500,115200,125800,147700,168200,204600,259500,275200,305700,323200,391400,,,,,,,,
38,106700,118600,129500,152000,173100,210700,267300,283400,314800,332900,403200,,,,,,,,
39,109800,122200,133500,156600,178300,217100,275200,291900,324200,342900,415300,,,,,,,,
40,113200,125800,137500,161400,183700,223700,283400,300700,333900,353200,,,,,,,,,
