Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,75500,83600,91200,107000,122600,148500,188600,199800,223000,235500,284200,330800,516900,550500,605600,765100,862400,944900,1049700
2,77600,86100,94100,110400,126400,153200,193900,205700,229800,242600,292700,341000,532400,566700,623500,788100,888500,,
3,80200,88600,97100,113700,130200,157800,199800,212100,236300,249800,301500,351100,548400,584000,642500,811700,914900,,
4,82700,91200,100000,117100,134000,162500,205700,218400,243500,257400,310800,361400,564800,601800,661700,836000,942300,,
5,85200,94100,103000,120500,138200,167500,212100,225100,250700,265000,319900,372400,581500,619700,681500,861100,,,
6,87800,97100,105700,124300,142400,172600,218400,231700,258300,273000,329600,383800,599200,638300,702000,887300,,,
7,90300,100000,109100,128100,146600,177700,225100,238900,265900,281300,339700,395200,617200,657500,723100,913600,,,
8,92800,103000,112500,131900,150700,183100,231700,246000,273700,289700,349800,406800,635700,677300,744800,941100,,,
9,95800,105700,115800,135700,155300,188600,238900,253600,282100,298600,360200,419000,654500,697400,767200,,,,
10,98700,109100,119200,139900,159900,193900,246000,261200,290500,307400,371100,431700,674400,718500,790200,,,,
11,101700,112500,123000,144100,164600,199800,253600,269200,299400,316500,382500,444600,694400,739800,813800,,,,
12,104700,115800,126800,148100,169600,205700,261200,277000,308300,326200,393900,458100,715500,762100,838100,,,,
13,107400,119200,130600,152800,174700,212100,269200,285500,317300,335900,405500,472000,736800,784700,863200,,,,
14,110800,123000,134400,157400,179800,218400,277000,293900,327000,346000,417800,486100,759200,808300,889400,,,,
15,114200,126800,138600,162000,185300,225100,285500,302800,336800,356600,430400,500900,781800,832600,916200,,,,
16,117500,130600,142800,167100,190500,231700,293900,312100,346900,366900,443300,516100,805400,857500,,,,,
17,120900,134400,146900,172200,196400,238900,302800,321100,357200,377900,456800,531500,829700,883000,,,,,
18,124700,138600,151500,177200,202300,246000,312100,330800,368200,389300,470700,547500,854600,909400,,,,,
19,128500,142800,156100,182700,208300,253600,321100,341000,379200,400900,484900,564000,880100,,,,,,
20,132300,146900,160800,188200,214600,261200,330800,351100,390600,413100,499600,580700,906500,,,,,,
21,136100,151500,165400,193500,220900,269200,341000,361400,402200,425800,514800,598000,,,,,,,
22,140300,156100,170500,199400,227700,277000,351100,372400,414400,438500,530200,615900,,,,,,,
23,144500,160800,175600,205300,234200,285500,361400,383800,427100,451300,546300,634500,,,,,,,
24,148500,165400,181000,211600,241400,293900,372400,395200,440100,464800,562700,653300,,,,,,,
25,153200,170500,186500,218000,248600,302800,383800,406800,453000,478800,579400,673100,,,,,,,
26,157800,175600,191800,224700,256200,312100,395200,419000,466500,492900,596700,693100,,,,,,,
27,162500,181000,197700,231300,263800,321100,406800,431700,480400,507700,614600,714200,,,,,,,
28,167500,186500,203600,238400,271800,330800,419000,444600,494600,522900,633200,735500,,,,,,,
29,172600,191800,209900,245600,279600,341000,431700,458100,509400,538300,652000,757900,,,,,,,
30,177700,197700,216300,253200,288000,351100,444600,472000,524500,554300,671800,780500,,,,,,,
31,183100,203600,222600,260800,296900,361400,458100,486100,539900,571000,692100,804100,,,,,,,
32,188600,209900,229400,268800,305700,372400,472000,500900,556400,588300,712500,828000,,,,,,,
33,193900,216300,235900,276600,314800,383800,486100,516100,573100,606000,734100,852900,,,,,,,
34,199800,222600,243100,285100,324500,395200,500900,531500,590400,623900,755800,878400,,,,,,,
35,205700,229400,250200,293500,334200,406800,516100,547500,608100,642900,778400,,,,,,,,
36,212100,235900,257800,302400,344400,419000,531500,564000,626000,662100,802000,,,,,,,,
37,218400,243100,265400,311600,354900,431700,547500,580700,645000,682000,825900,,,,,,,,
38,225100,250200,273200,320700,365200,444600,564000,598000,664200,702400,850800,,,,,,,,
39,231700,257800,281700,330400,376200,458100,580700,615900,684100,723500,876300,,,,,,,,
40,238900,265400,290100,340600,387600,472000,598000,634500,704500,745300,,,,,,,,,
