Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,109700,121200,132300,155400,177700,215500,273500,289800,323300,341700,412400,480100,749800,798700,878400,1110000,1251200,1370800,1522900
2,112800,124900,136600,160400,183500,222300,281600,298600,333500,352100,424800,494800,772600,822500,904800,1143500,1289000,,
3,116500,128500,140500,165000,188800,228900,289800,307700,343100,362500,437500,509400,795700,847600,932200,1177600,1327500,,
4,120100,132300,145000,170000,194400,235600,298600,316700,353500,373600,450900,524500,819500,873000,960000,1213100,1367000,,
5,123500,136600,149300,174700,200500,243100,307700,326700,363900,384300,464300,540200,843800,899100,988800,1249600,,,
6,127300,140500,153600,180400,206600,250400,316700,336300,374600,395900,478300,556700,869200,925800,1018500,1287400,,,
7,130800,145000,158400,185800,212500,257800,326700,346700,385600,408100,492800,573300,895400,954100,1049100,1325500,,,
8,134600,149300,163400,191200,218600,265800,336300,357100,397400,420500,507500,590500,922200,982700,1080800,1365400,,,
9,138900,153600,168100,196900,225400,273500,346700,367800,409400,433200,522900,607900,949600,1011900,1113000,,,,
10,143200,158400,173100,202800,232000,281600,357100,378900,421400,445900,538600,626300,978400,1042300,1146500,,,,
11,147300,163400,178500,208900,238600,289800,367800,390600,434400,459300,554900,644900,1007600,1073500,1180500,,,,
12,151600,168100,184000,215000,245900,298600,378900,402000,447100,473300,571400,664800,1038000,1105700,1216100,,,,
13,155900,173100,189400,221600,253500,307700,390600,414400,460600,487400,588400,684900,1069200,1138800,1252600,,,,
14,160700,178500,194800,228200,260800,316700,402000,426400,474700,502100,606300,705600,1101600,1172800,1290400,,,,
15,165800,184000,201200,235400,268900,326700,414400,439100,488700,517100,624500,726700,1134300,1208100,1329300,,,,
16,170800,189400,207300,242400,276600,336300,426400,452500,503200,532500,643300,748800,1168500,1243900,,,,,
17,175400,194800,213200,249700,285100,346700,439100,465900,518600,548300,662800,771100,1203800,1280900,,,,,
18,181100,201200,220000,257000,293600,357100,452500,480100,534300,564700,682900,794400,1239800,1319600,,,,,
19,186500,207300,226600,265100,302300,367800,465900,494800,549900,581800,703600,818000,1277000,,,,,,
20,191900,213200,233200,272800,311300,378900,480100,509400,566700,599500,725000,842600,1315100,,,,,,
21,197400,220000,240000,280900,320400,390600,494800,524500,583700,617600,746800,867600,,,,,,,
22,203500,226600,247400,289300,330100,402000,509400,540200,601300,636000,769500,893700,,,,,,,
23,209600,233200,254700,297900,340100,414400,524500,556700,619500,654800,792600,920600,,,,,,,
24,215500,240000,262400,307000,350100,426400,540200,573300,638300,674500,816400,948000,,,,,,,
25,222300,247400,270500,316300,360500,439100,556700,590500,657500,694500,840800,976400,,,,,,,
26,228900,254700,278500,326000,371600,452500,573300,607900,676800,715300,865600,1005800,,,,,,,
27,235600,262400,286900,335800,382500,465900,590500,626300,696800,736400,891800,1036400,,,,,,,
28,243100,270500,295500,346200,394300,480100,607900,644900,717600,758400,918800,1067400,,,,,,,
29,250400,278500,304700,356600,405600,494800,626300,664800,739100,781000,946000,1099600,,,,,,,
30,257800,286900,313600,367100,418100,509400,644900,684900,760900,804100,974700,1132400,,,,,,,
31,265800,295500,323100,378200,430900,524500,664800,705600,783700,828400,1003800,1166500,,,,,,,
32,273500,304700,332800,390000,443600,540200,684900,726700,807300,853500,1033900,1201300,,,,,,,
33,281600,313600,342400,401300,457000,556700,705600,748800,831500,879100,1064700,1237200,,,,,,,
34,289800,323100,352800,413700,470900,573300,726700,771100,856500,905400,1096600,1274300,,,,,,,
35,298600,332800,363200,425800,485100,590500,748800,794400,881900,932600,1129300,,,,,,,,
36,307700,342400,373900,438600,499400,607900,771100,818000,908400,960700,1163500,,,,,,,,
37,316700,352800,384800,451800,514800,626300,794400,842600,936000,989500,1198400,,,,,,,,
38,326700,363200,396700,465200,529800,644900,818000,867600,963700,1019200,1234200,,,,,,,,
39,336300,373900,408700,479400,546000,664800,842600,893700,992600,1049700,1271300,,,,,,,,
40,346700,384800,421000,494000,562400,684900,867600,920600,1022300,1081200,,,,,,,,,
