Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,556200,614800,670900,788300,902400,1094100,1387500,1470900,1641100,1733700,2092300,2435200,3804400,4051500,4456400,5630700,6347900,6953600,7726200
2,571800,633700,692400,813000,930400,1128000,1427900,1514600,1690600,1786500,2154200,2509500,3918500,4172100,4589400,5800800,6539600,,
3,590100,652000,713900,837800,957800,1161900,1470900,1560900,1740200,1838600,2218800,2583900,4035900,4298600,4728300,5973600,6733900,,
4,609000,670900,735500,861900,985800,1195800,1514600,1607200,1792300,1894700,2287200,2660800,4156500,4428400,4870400,6152900,6935300,,
5,627200,692400,757000,886700,1016500,1232900,1560900,1656700,1845200,1950100,2355000,2741000,4280400,4561400,5015800,6338700,,,
6,646100,713900,778500,914800,1047800,1270100,1607200,1705600,1900600,2008800,2426100,2824500,4410100,4697700,5167100,6530400,,,
7,664400,735500,803300,942800,1078400,1307300,1656700,1758400,1956000,2070800,2500400,2907900,4543100,4839800,5321600,6724700,,,
8,683300,757000,828000,970200,1109700,1347700,1705600,1811300,2014700,2132700,2574100,2994600,4678800,4985200,5482700,6925500,,,
9,704800,778500,852800,998200,1143600,1387500,1758400,1866700,2076600,2197200,2651700,3084600,4818300,5133200,5646300,,,,
10,726300,803300,877600,1028900,1177500,1427900,1811300,1922100,2138600,2262400,2731900,3177200,4963000,5287700,5816500,,,,
11,747800,828000,905600,1060200,1211400,1470900,1866700,1980800,2203800,2330200,2815300,3273000,5111700,5445500,5989300,,,,
12,769400,852800,933000,1090800,1248600,1514600,1922100,2039500,2268300,2401300,2898800,3371500,5266200,5609200,6168600,,,,
13,790900,877600,961000,1124700,1285700,1560900,1980800,2101400,2336100,2472400,2985500,3473900,5424000,5776100,6353700,,,,
14,815700,905600,989100,1159300,1322900,1607200,2039500,2163300,2407200,2546700,3074800,3578800,5587600,5948800,6545400,,,,
15,840400,933000,1019700,1193200,1362700,1656700,2101400,2228500,2478300,2623600,3167400,3687100,5754600,6128100,6743600,,,,
16,865200,961000,1051000,1230300,1403100,1705600,2163300,2296300,2552600,2701200,3263300,3797900,5927300,6310700,,,,,
17,890000,989100,1081700,1266800,1446100,1758400,2228500,2364200,2630200,2781400,3362400,3912700,6106600,6499100,,,,,
18,918000,1019700,1115600,1304000,1489800,1811300,2296300,2435200,2710400,2864900,3464700,4030000,6289200,6694100,,,,,
19,945400,1051000,1149500,1344400,1532900,1866700,2364200,2509500,2790600,2951600,3569700,4150600,6477600,,,,,,
20,973400,1081700,1183400,1384800,1579100,1922100,2435200,2583900,2874000,3040900,3677900,4273900,6672600,,,,,,
21,1001500,1115600,1217900,1424600,1625400,1980800,2509500,2660800,2960700,3133500,3788800,4401000,,,,,,,
22,1032100,1149500,1254400,1468300,1675000,2039500,2583900,2741000,3050100,3226700,3903500,4534000,,,,,,,
23,1063400,1183400,1291600,1511300,1724500,2101400,2660800,2824500,3143300,3322600,4020900,4669600,,,,,,,
24,1094100,1217900,1332000,1557600,1777400,2163300,2741000,2907900,3239100,3421000,4141500,4808500,,,,,,,
25,1128000,1254400,1372500,1603900,1829500,2228500,2824500,2994600,3334300,3523400,4264700,4953900,,,,,,,
26,1161900,1291600,1412200,1653500,1884900,2296300,2907900,3084600,3433400,3628400,4391900,5102600,,,,,,,
27,1195800,1332000,1455900,1703000,1941000,2364200,2994600,3177200,3535800,3736600,4524200,5257100,,,,,,,
28,1232900,1372500,1498900,1755200,1999700,2435200,3084600,3273000,3640800,3847500,4660500,5414200,,,,,,,
29,1270100,1412200,1545200,1808000,2058400,2509500,3177200,3371500,3749000,3962200,4799400,5578500,,,,,,,
30,1307300,1455900,1591500,1863400,2120300,2583900,3273000,3473900,3859800,4079600,4944800,5745400,,,,,,,
31,1347700,1498900,1637800,1919500,2184900,2660800,3371500,3578800,3974600,4202800,5093400,5918200,,,,,,,
32,1387500,1545200,1687400,1978200,2250100,2741000,3473900,3687100,4094600,4329900,5244700,6094200,,,,,,,
33,1427900,1591500,1736900,2036800,2317900,2824500,3578800,3797900,4218400,4459700,5402500,6276800,,,,,,,
34,1470900,1637800,1789100,2098100,2388900,2907900,3687100,3912700,4344900,4592700,5562900,6465200,,,,,,,
35,1514600,1687400,1841900,2160100,2460000,2994600,3797900,4030000,4475300,4731600,5729800,,,,,,,,
36,1560900,1736900,1897300,2225300,2534300,3084600,3912700,4150600,4607700,4873700,5902600,,,,,,,,
37,1607200,1789100,1953400,2293100,2611300,3177200,4030000,4273900,4747200,5019100,6079200,,,,,,,,
38,1656700,1841900,2012100,2360900,2688800,3273000,4150600,4401000,4889300,5170400,6261200,,,,,,,,
39,1705600,1897300,2074000,2432000,2769000,3371500,4273900,4534000,5034100,5324900,6449600,,,,,,,,
40,1758400,1953400,2135300,2506300,2852500,3473900,4401000,4669600,5186000,5485900,,,,,,,,,
