Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,183400,202800,221100,259700,297400,360500,457800,484900,541200,571400,689700,802900,1254600,1336000,1469600,1856600,2092600,2293000,2547300
2,188500,208900,228300,267900,306600,371700,470600,499200,557500,588700,710100,827400,1291900,1375400,1513100,1912500,2156300,,
3,194600,215000,235600,276000,316000,382900,484900,514700,573400,606300,731700,852100,1330700,1417400,1559200,1969800,2220100,,
4,200700,221100,242800,284200,325200,394300,499200,530000,591000,624600,754200,877200,1370700,1460400,1605700,2028800,2286800,,
5,206900,228300,249900,292300,335400,406600,514700,546300,608300,643200,776200,903700,1411300,1503900,1653800,2089600,,,
6,213000,235600,256600,301500,345600,418800,530000,562200,626700,662600,799900,931500,1454100,1549000,1703600,2153200,,,
7,219100,242800,264800,310900,355800,431100,546300,579600,645300,682600,824400,959000,1497800,1595500,1754800,2217100,,,
8,225200,249900,273000,320100,365600,444500,562200,597100,664000,703000,849000,987200,1542900,1643600,1807400,2283800,,,
9,232600,256600,281100,329300,376800,457800,579600,615500,684600,724600,874100,1016900,1588300,1692400,1861700,,,,
10,239700,264800,289300,339500,388200,470600,597100,633800,705000,746000,900700,1047500,1636500,1743600,1917600,,,,
11,246800,273000,298500,349700,399400,484900,615500,653400,726600,768100,928400,1079000,1685000,1795200,1974900,,,,
12,254000,281100,307800,359400,411700,499200,633800,672400,748100,791500,955900,1111600,1736200,1849500,2033900,,,,
13,260700,289300,317000,370700,423900,514700,653400,692800,770100,815200,984100,1145500,1788100,1904300,2094700,,,,
14,268900,298500,326200,381900,436400,530000,672400,713200,793600,839700,1013900,1179700,1842300,1961700,2158300,,,,
15,277000,307800,336400,393300,449600,546300,692800,734800,817200,865400,1044500,1215600,1897200,2020400,2223200,,,,
16,285200,317000,346600,405600,462500,562200,713200,757200,841700,890500,1075900,1252400,1954500,2081000,,,,,
17,293400,326200,356400,417800,476700,579600,734800,779300,866800,917000,1108500,1289900,2013300,2142800,,,,,
18,302500,336400,367600,430000,491000,597100,757200,802900,893500,944700,1142400,1328700,2073700,2206900,,,,,
19,311900,346600,378800,443500,505300,615500,779300,827400,920000,972900,1176700,1368600,2135700,,,,,,
20,321100,356400,390300,456800,520800,633800,802900,852100,947800,1002700,1212600,1409200,2199700,,,,,,
21,330300,367600,401500,469600,536100,653400,827400,877200,975900,1033300,1249300,1451100,,,,,,,
22,340500,378800,413700,483900,552400,672400,852100,903700,1005700,1064100,1286800,1494700,,,,,,,
23,350700,390300,426000,498200,568300,692800,877200,931500,1036300,1095300,1325600,1539800,,,,,,,
24,360500,401500,439400,513700,585700,713200,903700,959000,1068100,1128100,1365600,1585300,,,,,,,
25,371700,413700,452700,529000,603200,734800,931500,987200,1099400,1161800,1406000,1633400,,,,,,,
26,382900,426000,465500,545300,621600,757200,959000,1016900,1132200,1196100,1448000,1682000,,,,,,,
27,394300,439400,479800,561200,640200,779300,987200,1047500,1165900,1232000,1491600,1733200,,,,,,,
28,406600,452700,494100,578500,659500,802900,1016900,1079000,1200100,1268900,1536700,1785000,,,,,,,
29,418800,465500,509400,596100,678500,827400,1047500,1111600,1236000,1306200,1582200,1839300,,,,,,,
30,431100,479800,524900,614400,698900,852100,1079000,1145500,1273000,1345200,1630400,1893900,,,,,,,
31,444500,494100,540200,632800,720500,877200,1111600,1179700,1310300,1385600,1679500,1951500,,,,,,,
32,457800,509400,556500,652400,741900,903700,1145500,1215600,1350300,1427600,1729100,2009200,,,,,,,
33,470600,524900,572400,671400,764000,931500,1179700,1252400,1390700,1470600,1781300,2069600,,,,,,,
34,484900,540200,590000,691800,787400,959000,1215600,1289900,1432700,1514100,1834200,2131600,,,,,,,
35,499200,556500,607300,712200,811100,987200,1252400,1328700,1475700,1560200,1888800,,,,,,,,
36,514700,572400,625700,733800,835600,1016900,1289900,1368600,1519200,1606700,1946400,,,,,,,,
37,530000,590000,644200,756200,861300,1047500,1328700,1409200,1565300,1654800,2004100,,,,,,,,
38,546300,607300,663000,778300,886400,1079000,1368600,1451100,1611800,1704600,2064500,,,,,,,,
39,562200,625700,683600,801900,912900,1111600,1409200,1494700,1659900,1755800,2126500,,,,,,,,
40,579600,644200,704000,826400,940600,1145500,1451100,1539800,1709700,1808500,,,,,,,,,
