Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,73400,81200,88600,103900,119100,144300,183300,194100,216700,228800,276100,321400,502200,534800,588400,743300,837800,918000,1019900
2,75400,83600,91400,107200,122800,148800,188400,199900,223200,235700,284300,331300,517200,550600,605800,765700,863300,,
3,77900,86100,94300,110500,126500,153300,194100,206000,229600,242700,292900,341100,532800,567400,624200,788600,888900,,
4,80400,88600,97200,113800,130200,157800,199900,212200,236600,250100,302000,351200,548800,584700,642900,812200,915500,,
5,82800,91400,100000,117100,134300,162800,206000,218700,243500,257500,310800,361800,565000,602100,662200,836600,,,
6,85300,94300,102700,120700,138400,167700,212200,225100,250900,265300,320200,372900,582200,620100,682000,862000,,,
7,87700,97200,106000,124400,142500,172600,218700,232100,258300,273300,330000,384000,599600,638800,702500,887600,,,
8,90200,100000,109300,128100,146400,177900,225100,239000,265900,281500,339900,395200,617700,658000,723600,914300,,,
9,93100,102700,112500,131800,150900,183300,232100,246400,274100,290100,349900,407100,635900,677500,745400,,,,
10,95900,106000,115800,135900,155400,188400,239000,253800,282300,298700,360600,419400,655200,698000,767700,,,,
11,98800,109300,119500,140000,159900,194100,246400,261600,290900,307500,371700,431900,674700,718700,790700,,,,
12,101700,112500,123200,143900,164800,199900,253800,269200,299500,316900,382700,445100,695200,740500,814300,,,,
13,104300,115800,126900,148400,169700,206000,261600,277400,308300,326400,394000,458600,715900,762400,838700,,,,
14,107600,119500,130600,152900,174700,212200,269200,285600,317800,336200,405900,472300,737600,785400,864100,,,,
15,110900,123200,134700,157400,180000,218700,277400,294200,327200,346400,418200,486700,759500,808900,890100,,,,
16,114200,126900,138800,162400,185100,225100,285600,303200,337000,356500,430700,501400,782500,833100,,,,,
17,117500,130600,142700,167300,190900,232100,294200,312000,347100,367200,443800,516400,806100,857900,,,,,
18,121200,134700,147200,172200,196600,239000,303200,321400,357700,378200,457400,532000,830200,883500,,,,,
19,124800,138800,151700,177500,202300,246400,312000,331300,368400,389500,471100,548000,855100,,,,,,
20,128500,142700,156200,182900,208500,253800,321400,341100,379500,401400,485400,564200,880700,,,,,,
21,132200,147200,160700,188000,214600,261600,331300,351200,390700,413700,500200,581000,,,,,,,
22,136300,151700,165600,193700,221200,269200,341100,361800,402600,426000,515200,598400,,,,,,,
23,140400,156200,170600,199500,227500,277400,351200,372900,414900,438500,530700,616400,,,,,,,
24,144300,160700,175900,205600,234500,285600,361800,384000,427600,451600,546700,634700,,,,,,,
25,148800,165600,181200,211800,241500,294200,372900,395200,440100,465100,562900,654000,,,,,,,
26,153300,170600,186300,218300,248900,303200,384000,407100,453300,478900,579700,673400,,,,,,,
27,157800,175900,192100,224700,256200,312000,395200,419400,466800,493200,597200,693900,,,,,,,
28,162800,181200,197800,231600,264000,321400,407100,431900,480500,508000,615200,714600,,,,,,,
29,167700,186300,204000,238600,271600,331300,419400,445100,494900,523000,633400,736400,,,,,,,
30,172600,192100,210100,246000,279800,341100,431900,458600,509600,538500,652700,758300,,,,,,,
31,177900,197800,216300,253400,288400,351200,445100,472300,524600,554700,672400,781300,,,,,,,
32,183300,204000,222800,261200,297000,361800,458600,486700,540600,571500,692300,804400,,,,,,,
33,188400,210100,229200,268800,305900,372900,472300,501400,556800,588800,713200,828600,,,,,,,
34,194100,216300,236200,277000,315300,384000,486700,516400,573600,606200,734300,853400,,,,,,,
35,199900,222800,243100,285200,324700,395200,501400,532000,590800,624600,756200,,,,,,,,
36,206000,229200,250500,293800,334600,407100,516400,548000,608200,643300,779200,,,,,,,,
37,212200,236200,257900,302800,344800,419400,532000,564200,626700,662600,802400,,,,,,,,
38,218700,243100,265500,311600,354900,431900,548000,581000,645300,682400,826600,,,,,,,,
39,225100,250500,273700,321000,365500,445100,564200,598400,664600,702900,851400,,,,,,,,
40,232100,257900,281900,330900,376600,458600,581000,616400,684500,724100,,,,,,,,,
