Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,35600,39400,43000,50500,57800,70100,88900,94200,105100,111100,134000,156000,243700,259600,285500,360800,406700,445500,495000
2,36600,40600,44400,52100,59600,72300,91500,97000,108300,114400,138000,160800,251100,267300,294000,371600,419000,,
3,37800,41800,45700,53700,61400,74400,94200,100000,111500,117800,142200,165500,258600,275400,302900,382700,431400,,
4,39000,43000,47100,55200,63200,76600,97000,103000,114800,121400,146500,170500,266300,283700,312000,394200,444300,,
5,40200,44400,48500,56800,65100,79000,100000,106100,118200,124900,150900,175600,274200,292200,321400,406100,,,
6,41400,45700,49900,58600,67100,81400,103000,109300,121800,128700,155400,181000,282500,301000,331100,418400,,,
7,42600,47100,51500,60400,69100,83800,106100,112700,125300,132700,160200,186300,291100,310100,341000,430800,,,
8,43800,48500,53100,62200,71100,86300,109300,116000,129100,136600,164900,191900,299800,319400,351300,443700,,,
9,45100,49900,54600,64000,73300,88900,112700,119600,133100,140800,169900,197600,308700,328900,361700,,,,
10,46500,51500,56200,65900,75400,91500,116000,123200,137000,144900,175000,203500,318000,338800,372600,,,,
11,47900,53100,58000,67900,77600,94200,119600,126900,141200,149300,180400,209700,327500,348900,383700,,,,
12,49300,54600,59800,69900,80000,97000,123200,130700,145300,153800,185700,216000,337400,359400,395200,,,,
13,50700,56200,61600,72100,82400,100000,126900,134600,149700,158400,191300,222600,347500,370100,407100,,,,
14,52300,58000,63400,74200,84700,103000,130700,138600,154200,163200,197000,229300,358000,381200,419400,,,,
15,53900,59800,65300,76400,87300,106100,134600,142800,158800,168100,203000,236200,368700,392600,432000,,,,
16,55400,61600,67300,78800,89900,109300,138600,147100,163500,173100,209100,243300,379800,404300,,,,,
17,57000,63400,69300,81200,92700,112700,142800,151500,168500,178200,215400,250700,391200,416400,,,,,
18,58800,65300,71500,83600,95400,116000,147100,156000,173600,183500,222000,258200,402900,428900,,,,,
19,60600,67300,73700,86100,98200,119600,151500,160800,178800,189100,228700,265900,415000,,,,,,
20,62400,69300,75800,88700,101200,123200,156000,165500,184100,194800,235600,273800,427500,,,,,,
21,64200,71500,78000,91300,104100,126900,160800,170500,189700,200800,242700,282000,,,,,,,
22,66100,73700,80400,94000,107300,130700,165500,175600,195400,206700,250100,290500,,,,,,,
23,68100,75800,82800,96800,110500,134600,170500,181000,201400,212800,257600,299200,,,,,,,
24,70100,78000,85300,99800,113800,138600,175600,186300,207500,219200,265300,308100,,,,,,,
25,72300,80400,87900,102800,117200,142800,181000,191900,213600,225700,273200,317400,,,,,,,
26,74400,82800,90500,105900,120800,147100,186300,197600,220000,232500,281400,326900,,,,,,,
27,76600,85300,93300,109100,124300,151500,191900,203500,226500,239400,289900,336800,,,,,,,
28,79000,87900,96000,112500,128100,156000,197600,209700,233200,246500,298600,346900,,,,,,,
29,81400,90500,99000,115800,131900,160800,203500,216000,240200,253800,307500,357400,,,,,,,
30,83800,93300,102000,119400,135800,165500,209700,222600,247300,261400,316800,368100,,,,,,,
31,86300,96000,104900,123000,140000,170500,216000,229300,254600,269300,326300,379200,,,,,,,
32,88900,99000,108100,126700,144100,175600,222600,236200,262400,277400,336000,390500,,,,,,,
33,91500,102000,111300,130500,148500,181000,229300,243300,270300,285700,346100,402100,,,,,,,
34,94200,104900,114600,134400,153100,186300,236200,250700,278400,294200,356400,414200,,,,,,,
35,97000,108100,118000,138400,157600,191900,243300,258200,286700,303100,367100,,,,,,,,
36,100000,111300,121600,142600,162400,197600,250700,265900,295200,312200,378200,,,,,,,,
37,103000,114600,125100,146900,167300,203500,258200,273800,304100,321600,389500,,,,,,,,
38,106100,118000,128900,151300,172300,209700,265900,282000,313200,331300,401100,,,,,,,,
39,109300,121600,132900,155800,177400,216000,273800,290500,322500,341200,413200,,,,,,,,
40,112700,125100,136800,160600,182800,222600,282000,299200,332200,351400,,,,,,,,,
