Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,61300,67700,73900,86800,99300,120400,152800,161900,180600,190900,230400,268200,418900,446200,490700,620100,699000,765800,850800
2,63000,69800,76300,89600,102500,124200,157300,166800,186300,196700,237300,276400,431600,459500,505500,638800,720100,,
3,65100,71800,78500,92200,105500,127900,161900,171900,191700,202500,244400,284600,444500,473500,520800,657900,741600,,
4,67100,73900,81000,95000,108600,131600,166800,176900,197500,208700,251900,293000,457800,487700,536300,677700,763700,,
5,69000,76300,83400,97600,112000,135800,171900,182500,203300,214700,259400,301800,471400,502300,552400,698100,,,
6,71100,78500,85800,100800,115400,139900,176900,187900,209300,221200,267200,311000,485600,517200,569000,719200,,,
7,73100,81000,88500,103800,118700,144000,182500,193700,215400,228000,275300,320300,500200,533000,586100,740500,,,
8,75200,83400,91300,106800,122100,148500,187900,199500,222000,234900,283500,329900,515200,549000,603800,762800,,,
9,77600,85800,93900,110000,125900,152800,193700,205500,228700,242000,292100,339600,530500,565300,621800,,,,
10,80000,88500,96700,113300,129600,157300,199500,211700,235400,249100,300900,349900,546600,582300,640500,,,,
11,82300,91300,99700,116700,133300,161900,205500,218200,242700,256600,310000,360300,562900,599700,659500,,,,
12,84700,93900,102800,120100,137400,166800,211700,224600,249800,264400,319200,371400,579900,617700,679400,,,,
13,87100,96700,105800,123800,141600,171900,218200,231500,257300,272300,328700,382600,597300,636200,699800,,,,
14,89800,99700,108800,127500,145700,176900,224600,238200,265200,280500,338700,394200,615400,655200,720900,,,,
15,92600,102800,112400,131500,150200,182500,231500,245300,273000,288900,348900,406000,633700,674900,742600,,,,
16,95400,105800,115800,135400,154500,187900,238200,252800,281100,297500,359400,418300,652800,694900,,,,,
17,98000,108800,119100,139500,159300,193700,245300,260300,289700,306300,370300,430800,672500,715600,,,,,
18,101200,112400,122900,143600,164000,199500,252800,268200,298500,315500,381500,443800,692600,737200,,,,,
19,104200,115800,126600,148100,168900,205500,260300,276400,307200,325000,393100,457000,713400,,,,,,
20,107200,119100,130300,152400,173900,211700,268200,284600,316600,334900,405000,470700,734700,,,,,,
21,110300,122900,134100,156900,179000,218200,276400,293000,326100,345000,417200,484700,,,,,,,
22,113700,126600,138200,161600,184400,224600,284600,301800,335900,355300,429900,499300,,,,,,,
23,117100,130300,142300,166400,190000,231500,293000,311000,346100,365800,442800,514300,,,,,,,
24,120400,134100,146600,171500,195600,238200,301800,320300,356600,376800,456100,529600,,,,,,,
25,124200,138200,151100,176700,201400,245300,311000,329900,367300,388000,469700,545500,,,,,,,
26,127900,142300,155600,182100,207600,252800,320300,339600,378100,399600,483600,561900,,,,,,,
27,131600,146600,160300,187600,213700,260300,329900,349900,389300,411400,498200,579000,,,,,,,
28,135800,151100,165100,193400,220300,268200,339600,360300,400900,423700,513300,596300,,,,,,,
29,139900,155600,170200,199200,226600,276400,349900,371400,412900,436300,528500,614300,,,,,,,
30,144000,160300,175200,205100,233600,284600,360300,382600,425100,449200,544500,632600,,,,,,,
31,148500,165100,180500,211300,240700,293000,371400,394200,437800,462800,560800,651700,,,,,,,
32,152800,170200,185900,217900,247800,301800,382600,406000,451000,476800,577600,671100,,,,,,,
33,157300,175200,191300,224200,255300,311000,394200,418300,464500,491100,594800,691200,,,,,,,
34,161900,180500,197100,231100,263100,320300,406000,430800,478500,505800,612600,711900,,,,,,,
35,166800,185900,202900,237900,271000,329900,418300,443800,492700,521000,630900,,,,,,,,
36,171900,191300,208900,245000,279000,339600,430800,457000,507500,536700,650000,,,,,,,,
37,176900,197100,215000,252400,287600,349900,443800,470700,522900,552800,669500,,,,,,,,
38,182500,202900,221600,259900,296000,360300,457000,484700,538400,569400,689500,,,,,,,,
39,187900,208900,228300,267800,305000,371400,470700,499300,554500,586400,710200,,,,,,,,
40,193700,215000,235200,276000,314200,382600,484700,514300,571100,604000,,,,,,,,,
