CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,43600,48200,52500,61700,70700,85700,108700,115200,128500,135800,163800,190700,297900,317300,349000,440900,497100,544500,605000
2,44800,49600,54200,63600,72800,88300,111800,118600,132400,139900,168700,196500,306900,326700,359400,454200,512100,,
3,46200,51100,55900,65600,75000,91000,115200,122200,136200,144000,173800,202300,316100,336600,370300,467800,527300,,
4,47700,52500,57600,67500,77200,93700,118600,125800,140400,148300,179100,208400,325500,346800,381400,481800,543000,,
5,49100,54200,59300,69500,79600,96600,122200,129700,144500,152700,184400,214700,335200,357200,392800,496300,,,
6,50600,55900,61000,71600,82000,99500,125800,133600,148800,157300,190000,221200,345300,367800,404600,511300,,,
7,52000,57600,62900,73800,84500,102400,129700,137700,153200,162100,195800,227700,355700,379000,416700,526600,,,
8,53500,59300,64900,76000,86900,105500,133600,141800,157800,167000,201600,234500,366400,390300,429300,542300,,,
9,55200,61000,66800,78200,89500,108700,137700,146200,162600,172100,207600,241500,377300,402000,442100,,,,
10,56900,62900,68700,80600,92200,111800,141800,150500,167500,177100,213900,248800,388700,414100,455400,,,,
11,58600,64900,70900,83000,94900,115200,146200,155100,172500,182500,220500,256300,400300,426400,469000,,,,
12,60300,66800,73100,85400,97800,118600,150500,159700,177600,188000,227000,264000,412400,439200,483000,,,,
13,62000,68700,75300,88100,100700,122200,155100,164600,183000,193600,233800,272000,424700,452300,497600,,,,
14,63900,70900,77400,90800,103600,125800,159700,169400,188500,199400,240800,280200,437500,465900,512600,,,,
15,65800,73100,79900,93400,106700,129700,164600,174500,194100,205500,248100,288700,450600,479900,528000,,,,
16,67800,75300,82300,96300,109900,133600,169400,179800,199900,211500,255600,297400,464200,494200,,,,,
17,69700,77400,84700,99200,113300,137700,174500,185100,205900,217800,263300,306400,478200,508900,,,,,
18,71900,79900,87400,102100,116600,141800,179800,190700,212200,224300,271300,315600,492500,524200,,,,,
19,74100,82300,90000,105300,120000,146200,185100,196500,218500,231100,279500,325000,507200,,,,,,
20,76200,84700,92700,108400,123700,150500,190700,202300,225100,238100,288000,334700,522500,,,,,,
21,78400,87400,95300,111600,127300,155100,196500,208400,231800,245400,296700,344600,,,,,,,
22,80800,90000,98300,115000,131200,159700,202300,214700,238900,252600,305600,355000,,,,,,,
23,83200,92700,101200,118300,135000,164600,208400,221200,246100,260200,314800,365700,,,,,,,
24,85700,95300,104300,122000,139200,169400,214700,227700,253600,267900,324300,376600,,,,,,,
25,88300,98300,107400,125600,143300,174500,221200,234500,261100,275900,334000,387900,,,,,,,
26,91000,101200,110600,129500,147600,179800,227700,241500,268900,284100,343900,399500,,,,,,,
27,93700,104300,114000,133300,152000,185100,234500,248800,276800,292600,354300,411600,,,,,,,
28,96600,107400,117400,137500,156600,190700,241500,256300,285100,301300,364900,424000,,,,,,,
29,99500,110600,121000,141600,161200,196500,248800,264000,293500,310200,375800,436800,,,,,,,
30,102400,114000,124600,145900,166000,202300,256300,272000,302300,319400,387200,449900,,,,,,,
31,105500,117400,128300,150300,171100,208400,264000,280200,311200,329100,398800,463400,,,,,,,
32,108700,121000,132100,154900,176200,214700,272000,288700,320700,339000,410700,477200,,,,,,,
33,111800,124600,136000,159500,181500,221200,280200,297400,330300,349200,423000,491500,,,,,,,
34,115200,128300,140100,164300,187100,227700,288700,306400,340300,359600,435600,506300,,,,,,,
35,118600,132100,144200,169200,192600,234500,297400,315600,350400,370500,448700,,,,,,,,
36,122200,136000,148600,174200,198400,241500,306400,325000,360800,381600,462200,,,,,,,,
37,125800,140100,152900,179600,204500,248800,315600,334700,371700,393000,476000,,,,,,,,
38,129700,144200,157500,184900,210500,256300,325000,344600,382800,404900,490300,,,,,,,,
39,133600,148600,162400,190500,216800,264000,334700,355000,394200,417000,505100,,,,,,,,
40,137700,152900,167200,196300,223400,272000,344600,365700,406100,429600,,,,,,,,,
