CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,36400,40200,43800,51500,59000,71500,90700,96200,107300,113300,136800,159200,248700,264800,291300,368000,414900,454500,505000
2,37400,41400,45200,53100,60800,73700,93300,99000,110500,116800,140800,164000,256100,272700,300000,379200,427400,,
3,38600,42600,46700,54700,62600,76000,96200,102000,113700,120200,145000,168900,263800,281000,309100,390500,440200,,
4,39800,43800,48100,56400,64400,78200,99000,105000,117200,123800,149500,173900,271700,289500,318400,402200,453300,,
5,41000,45200,49500,58000,66500,80600,102000,108300,120600,127500,153900,179200,279800,298200,327800,414300,,,
6,42200,46700,50900,59800,68500,83000,105000,111500,124200,131300,158600,184600,288300,307000,337700,426800,,,
7,43400,48100,52500,61600,70500,85400,108300,114900,127900,135300,163400,190100,296900,316300,347800,439600,,,
8,44600,49500,54100,63400,72500,88100,111500,118400,131700,139400,168300,195700,305800,325800,358300,452700,,,
9,46100,50900,55800,65200,74700,90700,114900,122000,135700,143600,173300,201600,314900,335500,369100,,,,
10,47500,52500,57400,67300,77000,93300,118400,125600,139800,147900,178600,207700,324400,345600,380200,,,,
11,48900,54100,59200,69300,79200,96200,122000,129500,144000,152300,184000,213900,334100,355900,391500,,,,
12,50300,55800,61000,71300,81600,99000,125600,133300,148300,157000,189500,220400,344200,366600,403200,,,,
13,51700,57400,62800,73500,84000,102000,129500,137400,152700,161600,195100,227000,354500,377500,415300,,,,
14,53300,59200,64600,75800,86500,105000,133300,141400,157400,166400,201000,233900,365200,388800,427800,,,,
15,54900,61000,66700,78000,89100,108300,137400,145600,162000,171500,207000,241000,376100,400600,440800,,,,
16,56600,62800,68700,80400,91700,111500,141400,150100,166900,176500,213300,248300,387400,412500,,,,,
17,58200,64600,70700,82800,94500,114900,145600,154500,171900,181800,219800,255700,399200,424800,,,,,
18,60000,66700,72900,85200,97400,118400,150100,159200,177200,187300,226400,263400,411100,437500,,,,,
19,61800,68700,75100,87900,100200,122000,154500,164000,182400,192900,233300,271300,423400,,,,,,
20,63600,70700,77400,90500,103200,125600,159200,168900,187900,198800,240400,279400,436100,,,,,,
21,65400,72900,79600,93100,106300,129500,164000,173900,193500,204800,247700,287600,,,,,,,
22,67500,75100,82000,96000,109500,133300,168900,179200,199400,210900,255100,296300,,,,,,,
23,69500,77400,84400,98800,112700,137400,173900,184600,205400,217200,262800,305200,,,,,,,
24,71500,79600,87100,101800,116200,141400,179200,190100,211700,223600,270700,314300,,,,,,,
25,73700,82000,89700,104800,119600,145600,184600,195700,218000,230300,278800,323800,,,,,,,
26,76000,84400,92300,108100,123200,150100,190100,201600,224400,237100,287000,333500,,,,,,,
27,78200,87100,95100,111300,126900,154500,195700,207700,231100,244200,295700,343600,,,,,,,
28,80600,89700,98000,114700,130700,159200,201600,213900,238000,251500,304600,353900,,,,,,,
29,83000,92300,101000,118200,134500,164000,207700,220400,245000,259000,313700,364600,,,,,,,
30,85400,95100,104000,121800,138600,168900,213900,227000,252300,266600,323200,375500,,,,,,,
31,88100,98000,107100,125400,142800,173900,220400,233900,259800,274700,332900,386800,,,,,,,
32,90700,101000,110300,129300,147100,179200,227000,241000,267600,283000,342800,398300,,,,,,,
33,93300,104000,113500,133100,151500,184600,233900,248300,275700,291500,353100,410300,,,,,,,
34,96200,107100,117000,137200,156100,190100,241000,255700,284000,300200,363600,422600,,,,,,,
35,99000,110300,120400,141200,160800,195700,248300,263400,292500,309300,374500,,,,,,,,
36,102000,113500,124000,145400,165600,201600,255700,271300,301200,318600,385800,,,,,,,,
37,105000,117000,127700,149900,170700,207700,263400,279400,310300,328000,397300,,,,,,,,
38,108300,120400,131500,154300,175700,213900,271300,287600,319600,337900,409300,,,,,,,,
39,111500,124000,135500,159000,181000,220400,279400,296300,329100,348000,421600,,,,,,,,
40,114900,127700,139600,163800,186400,227000,287600,305200,339000,358600,,,,,,,,,
