Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,41200,45600,49700,58400,66900,81100,102800,109000,121600,128500,155000,180500,281900,300200,330200,417200,470400,515200,572500
2,42400,46900,51300,60200,68900,83600,105800,112200,125300,132400,159600,185900,290400,309200,340100,429800,484600,,
3,43700,48300,52900,62100,71000,86100,109000,115600,128900,136300,164400,191400,299100,318500,350400,442700,499000,,
4,45100,49700,54500,63900,73100,88600,112200,119100,132800,140400,169500,197200,308000,328200,360900,455900,513900,,
5,46500,51300,56100,65700,75300,91400,115600,122700,136700,144500,174500,203100,317200,338000,371700,469700,,,
6,47900,52900,57700,67800,77600,94100,119100,126400,140800,148800,179800,209300,326800,348100,382900,483900,,,
7,49200,54500,59500,69800,79900,96900,122700,130300,145000,153400,185300,215500,336600,358600,394300,498300,,,
8,50600,56100,61400,71900,82200,99800,126400,134200,149300,158000,190800,221900,346700,369400,406200,513200,,,
9,52200,57700,63200,74000,84700,102800,130300,138300,153900,162800,196500,228500,357000,380400,418400,,,,
10,53800,59500,65000,76300,87200,105800,134200,142400,158500,167600,202400,235400,367800,391800,431000,,,,
11,55400,61400,67100,78500,89800,109000,138300,146800,163300,172700,208600,242500,378800,403500,443800,,,,
12,57000,63200,69200,80800,92500,112200,142400,151100,168100,177900,214800,249800,390200,415600,457100,,,,
13,58600,65000,71200,83400,95300,115600,146800,155700,173100,183200,221200,257400,401900,428000,470800,,,,
14,60500,67100,73300,85900,98000,119100,151100,160300,178400,188700,227900,265200,414000,440800,485000,,,,
15,62300,69200,75600,88400,101000,122700,155700,165100,183700,194400,234700,273200,426400,454100,499700,,,,
16,64100,71200,77900,91100,104000,126400,160300,170100,189200,200100,241800,281400,439200,467600,,,,,
17,66000,73300,80200,93900,107200,130300,165100,175200,194900,206100,249200,289900,452500,481600,,,,,
18,68000,75600,82700,96600,110400,134200,170100,180500,200800,212300,256700,298600,466000,496000,,,,,
19,70100,77900,85200,99600,113600,138300,175200,185900,206800,218700,264500,307500,480000,,,,,,
20,72100,80200,87700,102600,117000,142400,180500,191400,213000,225300,272500,316700,494400,,,,,,
21,74200,82700,90200,105600,120500,146800,185900,197200,219400,232200,280800,326100,,,,,,,
22,76500,85200,93000,108800,124100,151100,191400,203100,226000,239100,289200,335900,,,,,,,
23,78800,87700,95700,112000,127800,155700,197200,209300,232900,246200,297900,346000,,,,,,,
24,81100,90200,98700,115400,131700,160300,203100,215500,240000,253500,306900,356300,,,,,,,
25,83600,93000,101700,118900,135600,165100,209300,221900,247100,261100,316000,367100,,,,,,,
26,86100,95700,104700,122500,139700,170100,215500,228500,254400,268800,325400,378100,,,,,,,
27,88600,98700,107900,126200,143800,175200,221900,235400,262000,276900,335300,389500,,,,,,,
28,91400,101700,111100,130100,148200,180500,228500,242500,269800,285100,345300,401200,,,,,,,
29,94100,104700,114500,134000,152500,185900,235400,249800,277800,293600,355600,413300,,,,,,,
30,96900,107900,117900,138100,157100,191400,242500,257400,286000,302300,366400,425700,,,,,,,
31,99800,111100,121400,142200,161900,197200,249800,265200,294500,311400,377400,438500,,,,,,,
32,102800,114500,125000,146600,166700,203100,257400,273200,303400,320800,388600,451600,,,,,,,
33,105800,117900,128700,150900,171800,209300,265200,281400,312600,330400,400300,465100,,,,,,,
34,109000,121400,132600,155500,177000,215500,273200,289900,322000,340300,412200,479100,,,,,,,
35,112200,125000,136500,160100,182300,221900,281400,298600,331600,350600,424600,,,,,,,,
36,115600,128700,140600,164900,187800,228500,289900,307500,341400,361100,437400,,,,,,,,
37,119100,132600,144700,169900,193500,235400,298600,316700,351700,371900,450400,,,,,,,,
38,122700,136500,149100,175000,199200,242500,307500,326100,362300,383100,464000,,,,,,,,
39,126400,140600,153700,180200,205200,249800,316700,335900,373000,394600,477900,,,,,,,,
40,130300,144700,158200,185700,211400,257400,326100,346000,384300,406500,,,,,,,,,
