CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,41800,46200,50300,59200,67700,82100,104200,110400,123200,130200,157100,182800,285600,304200,334500,422700,476500,522000,580000
2,42900,47600,52000,61000,69800,84700,107200,113700,126900,134100,161700,188400,294200,313200,344500,435500,490900,,
3,44300,49000,53600,62900,71900,87200,110400,117200,130600,138000,166600,194000,303000,322700,355000,448500,505500,,
4,45700,50300,55200,64700,74000,89800,113700,120600,134600,142200,171700,199800,312000,332500,365600,461900,520600,,
5,47100,52000,56800,66600,76300,92600,117200,124400,138500,146400,176800,205800,321300,342400,376500,475800,,,
6,48500,53600,58500,68700,78600,95400,120600,128100,142700,150800,182100,212000,331100,352600,387900,490200,,,
7,49900,55200,60300,70800,81000,98100,124400,132000,146900,155400,187700,218300,341000,363300,399500,504800,,,
8,51300,56800,62200,72800,83300,101200,128100,136000,151300,160100,193300,224800,351200,374200,411600,519900,,,
9,52900,58500,64000,74900,85800,104200,132000,140100,155900,165000,199100,231500,361700,385400,423900,,,,
10,54500,60300,65900,77300,88400,107200,136000,144300,160500,169800,205100,238500,372600,397000,436600,,,,
11,56100,62200,68000,79600,90900,110400,140100,148700,165400,174900,211400,245700,383700,408800,449600,,,,
12,57800,64000,70100,81900,93700,113700,144300,153100,170300,180300,217600,253100,395300,421100,463100,,,,
13,59400,65900,72200,84400,96500,117200,148700,157800,175400,185600,224100,260800,407200,433600,477000,,,,
14,61200,68000,74200,87000,99300,120600,153100,162400,180700,191200,230800,268700,419500,446600,491400,,,,
15,63100,70100,76600,89600,102300,124400,157800,167300,186100,197000,237800,276800,432000,460100,506200,,,,
16,65000,72200,78900,92300,105300,128100,162400,172400,191600,202800,245000,285100,445000,473700,,,,,
17,66800,74200,81200,95100,108600,132000,167300,177500,197400,208800,252400,293700,458400,487900,,,,,
18,68900,76600,83800,97900,111800,136000,172400,182800,203500,215100,260100,302500,472100,502500,,,,,
19,71000,78900,86300,100900,115100,140100,177500,188400,209500,221600,268000,311600,486300,,,,,,
20,73100,81200,88900,103900,118600,144300,182800,194000,215800,228300,276100,320900,500900,,,,,,
21,75200,83800,91400,107000,122000,148700,188400,199800,222300,235200,284400,330400,,,,,,,
22,77500,86300,94200,110200,125700,153100,194000,205800,229000,242200,293000,340300,,,,,,,
23,79800,88900,97000,113400,129500,157800,199800,212000,235900,249400,301800,350600,,,,,,,
24,82100,91400,100000,116900,133400,162400,205800,218300,243100,256800,310900,361000,,,,,,,
25,84700,94200,103000,120400,137300,167300,212000,224800,250300,264500,320200,371900,,,,,,,
26,87200,97000,106000,124100,141500,172400,218300,231500,257800,272400,329700,383000,,,,,,,
27,89800,100000,109300,127800,145700,177500,224800,238500,265400,280500,339600,394600,,,,,,,
28,92600,103000,112500,131800,150100,182800,231500,245700,273300,288800,349900,406500,,,,,,,
29,95400,106000,116000,135700,154500,188400,238500,253100,281400,297400,360300,418800,,,,,,,
30,98100,109300,119500,139900,159200,194000,245700,260800,289800,306200,371200,431300,,,,,,,
31,101200,112500,123000,144100,164000,199800,253100,268700,298400,315500,382300,444300,,,,,,,
32,104200,116000,126700,148500,168900,205800,260800,276800,307400,325000,393700,457500,,,,,,,
33,107200,119500,130400,152900,174000,212000,268700,285100,316700,334800,405500,471200,,,,,,,
34,110400,123000,134300,157500,179300,218300,276800,293700,326200,344800,417600,485300,,,,,,,
35,113700,126700,138300,162200,184700,224800,285100,302500,335900,355200,430100,,,,,,,,
36,117200,130400,142400,167000,190200,231500,293700,311600,345900,365900,443100,,,,,,,,
37,120600,134300,146600,172100,196000,238500,302500,320900,356400,376800,456300,,,,,,,,
38,124400,138300,151000,177200,201800,245700,311600,330400,367000,388100,470000,,,,,,,,
39,128100,142400,155700,182600,207900,253100,320900,340300,377900,399700,484200,,,,,,,,
40,132000,146600,160300,188200,214100,260800,330400,350600,389300,411800,,,,,,,,,
