Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,36200,40000,43600,51300,58700,71200,90200,95700,106700,112800,136100,158400,247400,263500,289800,366200,412900,452200,502500
2,37200,41200,45000,52900,60500,73400,92900,98500,109900,116200,140100,163200,254900,271400,298500,377300,425300,,
3,38400,42400,46400,54500,62300,75600,95700,101500,113200,119600,144300,168000,262500,279600,307500,388500,438000,,
4,39600,43600,47800,56100,64100,77800,98500,104500,116600,123200,148700,173100,270300,288000,316800,400200,451000,,
5,40800,45000,49200,57700,66100,80200,101500,107700,120000,126800,153200,178300,278400,296700,326200,412300,,,
6,42000,46400,50700,59500,68100,82600,104500,111000,123600,130600,157800,183700,286800,305500,336100,424700,,,
7,43200,47800,52300,61300,70100,85000,107700,114400,127200,134700,162600,189100,295500,314800,346100,437400,,,
8,44400,49200,53900,63100,72200,87600,111000,117800,131100,138700,167400,194800,304300,324200,356600,450400,,,
9,45800,50700,55500,64900,74400,90200,114400,121400,135100,142900,172500,200600,313400,333900,367200,,,,
10,47200,52300,57100,66900,76600,92900,117800,125000,139100,147100,177700,206600,322800,343900,378300,,,,
11,48600,53900,58900,68900,78800,95700,121400,128800,143300,151600,183100,212900,332500,354200,389500,,,,
12,50000,55500,60700,71000,81200,98500,125000,132700,147500,156200,188500,219300,342500,364800,401200,,,,
13,51500,57100,62500,73200,83600,101500,128800,136700,152000,160800,194200,225900,352800,375700,413300,,,,
14,53100,58900,64300,75400,86000,104500,132700,140700,156600,165600,200000,232800,363400,386900,425700,,,,
15,54700,60700,66300,77600,88600,107700,136700,144900,161200,170600,206000,239800,374300,398600,438600,,,,
16,56300,62500,68300,80000,91300,111000,140700,149300,166000,175700,212300,247000,385500,410400,,,,,
17,57900,64300,70300,82400,94100,114400,144900,153800,171100,180900,218700,254500,397200,422700,,,,,
18,59700,66300,72600,84800,96900,117800,149300,158400,176300,186300,225300,262100,409000,435400,,,,,
19,61500,68300,74800,87400,99700,121400,153800,163200,181500,192000,232200,269900,421300,,,,,,
20,63300,70300,77000,90000,102700,125000,158400,168000,186900,197800,239200,278000,434000,,,,,,
21,65100,72600,79200,92700,105700,128800,163200,173100,192600,203800,246400,286200,,,,,,,
22,67100,74800,81600,95500,108900,132700,168000,178300,198400,209800,253900,294900,,,,,,,
23,69100,77000,84000,98300,112200,136700,173100,183700,204400,216100,261500,303700,,,,,,,
24,71200,79200,86600,101300,115600,140700,178300,189100,210600,222500,269300,312800,,,,,,,
25,73400,81600,89200,104300,119000,144900,183700,194800,216900,229100,277400,322200,,,,,,,
26,75600,84000,91900,107500,122600,149300,189100,200600,223300,236000,285600,331900,,,,,,,
27,77800,86600,94700,110800,126200,153800,194800,206600,229900,243000,294300,341900,,,,,,,
28,80200,89200,97500,114200,130000,158400,200600,212900,236800,250200,303100,352200,,,,,,,
29,82600,91900,100500,117600,133900,163200,206600,219300,243800,257700,312200,362800,,,,,,,
30,85000,94700,103500,121200,137900,168000,212900,225900,251000,265300,321600,373700,,,,,,,
31,87600,97500,106500,124800,142100,173100,219300,232800,258500,273400,331200,384900,,,,,,,
32,90200,100500,109700,128600,146300,178300,225900,239800,266300,281600,341100,396400,,,,,,,
33,92900,103500,113000,132500,150700,183700,232800,247000,274400,290000,351300,408200,,,,,,,
34,95700,106500,116400,136500,155400,189100,239800,254500,282600,298700,361800,420500,,,,,,,
35,98500,109700,119800,140500,160000,194800,247000,262100,291000,307700,372700,,,,,,,,
36,101500,113000,123400,144700,164800,200600,254500,269900,299700,317000,383900,,,,,,,,
37,104500,116400,127000,149100,169800,206600,262100,278000,308700,326400,395400,,,,,,,,
38,107700,119800,130900,153600,174900,212900,269900,286200,318000,336300,407200,,,,,,,,
39,111000,123400,134900,158200,180100,219300,278000,294900,327400,346300,419500,,,,,,,,
40,114400,127000,138900,163000,185500,225900,286200,303700,337300,356800,,,,,,,,,
