Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,67000,74100,80800,94900,108800,131900,167200,177200,197800,208900,252100,293400,458400,488200,537000,678600,765000,837900,931000
2,69000,76400,83500,98000,112100,136000,172100,182500,203600,215200,259500,302400,472200,502700,553100,698900,787900,,
3,71100,78600,86000,100900,115400,139900,177200,188200,209700,221500,267300,311200,486300,518000,569800,719900,811400,,
4,73300,80800,88600,103900,118800,144100,182500,193600,216000,228300,275600,320700,501000,533700,586800,741500,835700,,
5,75700,83500,91300,106800,122500,148600,188200,199500,222300,235000,283800,330300,515900,549600,604500,763800,,,
6,77800,86000,93900,110200,126200,153100,193600,205600,228900,242100,292400,340500,531400,566000,622700,786900,,,
7,80000,88600,96800,113700,129900,157600,199500,211900,235800,249500,301300,350400,547400,583100,641300,810300,,,
8,82300,91300,99800,117000,133700,162300,205600,218100,242800,257000,310300,360800,563900,600700,660700,834600,,,
9,84900,93900,102700,120300,137800,167200,211900,225000,250300,264800,319500,371600,580600,618600,680300,,,,
10,87400,96800,105800,124100,141900,172100,218100,231700,257700,272600,329300,382800,598000,637200,700900,,,,
11,90200,99800,109200,127800,146000,177200,225000,238700,265600,280900,339300,394400,616000,656200,721700,,,,
12,92700,102700,112500,131500,150500,182500,231700,245800,273400,289300,349300,406300,634600,675800,743200,,,,
13,95300,105800,115800,135600,154800,188200,238700,253200,281500,297900,359700,418700,653500,696000,765600,,,,
14,98400,109200,119200,139600,159300,193600,245800,260700,290100,306900,370400,431200,673300,717000,788700,,,,
15,101300,112500,122900,143700,164200,199500,253200,268500,298700,316100,381800,444300,693400,738500,812600,,,,
16,104300,115800,126600,148200,169100,205600,260700,276800,307500,325600,393200,457700,714200,760500,,,,,
17,107200,119200,130300,152700,174200,211900,268500,285000,316900,335200,405100,471400,735800,783200,,,,,
18,110500,122900,134500,157200,179500,218100,276800,293400,326500,345200,417500,485700,757700,806500,,,,,
19,113900,126600,138600,161900,184600,225000,285000,302400,336300,355500,430000,500200,780500,,,,,,
20,117200,130300,142700,166800,190300,231700,293400,311200,346300,366500,443200,515100,804000,,,,,,
21,120700,134500,146800,171700,195800,238700,302400,320700,356700,377700,456500,530400,,,,,,,
22,124500,138600,151100,176800,201900,245800,311200,330300,367500,388900,470400,546300,,,,,,,
23,128200,142700,155600,182100,207800,253200,320700,340500,378700,400200,484500,562700,,,,,,,
24,131900,146800,160500,187800,214000,260700,330300,350400,390200,412200,499000,579400,,,,,,,
25,136000,151100,165400,193300,220500,268500,340500,360800,401800,424500,513900,597000,,,,,,,
26,139900,155600,170100,199100,227200,276800,350400,371600,413800,437300,529200,614900,,,,,,,
27,144100,160500,175400,205200,233800,285000,360800,382800,426100,450200,545300,633500,,,,,,,
28,148600,165400,180700,211500,240900,293400,371600,394400,438600,463700,561500,652500,,,,,,,
29,153100,170100,186200,218000,247900,302400,382800,406300,451800,477500,578400,672300,,,,,,,
30,157600,175400,191700,224600,255400,311200,394400,418700,465100,491600,595800,692300,,,,,,,
31,162300,180700,197400,231300,263200,320700,406300,431200,478800,506500,613700,713000,,,,,,,
32,167200,186200,203300,238300,271100,330300,418700,444300,493500,521800,631900,734400,,,,,,,
33,172100,191700,209300,245400,279300,340500,431200,457700,508400,537400,650900,756400,,,,,,,
34,177200,197400,215600,252800,287900,350400,444300,471400,523500,553300,670300,779100,,,,,,,
35,182500,203300,221900,260300,296400,360800,457700,485700,539200,570200,690500,,,,,,,,
36,188200,209300,228700,268100,305400,371600,471400,500200,555300,587200,711300,,,,,,,,
37,193600,215600,235400,276400,314800,382800,485700,515100,571900,604900,732500,,,,,,,,
38,199500,221900,242500,284600,324000,394400,500200,530400,589200,623100,754400,,,,,,,,
39,205600,228700,249900,293000,333600,406300,515100,546300,606600,641700,777100,,,,,,,,
40,211900,235400,257300,302000,343800,418700,530400,562700,624800,660900,,,,,,,,,
