Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,235200,260500,283800,333400,382000,463200,587100,622600,694500,733900,885000,1030800,1609900,1714400,1885700,2382400,2686100,2942000,3269300
2,242000,267800,293100,343800,393400,477500,604100,640800,715600,756000,911500,1061700,1658200,1765600,1942100,2454300,2767300,,
3,249600,275800,302000,354500,405300,491600,622600,660200,736000,778300,938700,1093000,1708000,1818900,2000900,2527900,2849400,,
4,257600,283800,311300,365000,417500,505900,640800,680200,758400,801700,967900,1126100,1758800,1874300,2060900,2603500,2934700,,
5,265600,293100,320300,375200,430100,522000,660200,700600,780500,825200,996500,1159800,1811300,1930100,2122600,2682200,,,
6,273600,302000,329500,387100,443200,537300,680200,721700,804100,849800,1026700,1195300,1866200,1987700,2186500,2763400,,,
7,280900,311300,339700,398500,456400,553300,700600,744100,828100,876000,1058300,1230600,1922100,2047800,2251600,2845500,,,
8,288900,320300,350600,410700,469500,569800,721700,766400,852700,902300,1089600,1267200,1979700,2109500,2319700,2930600,,,
9,298200,329500,360900,422600,483600,587100,744100,789800,878900,929700,1122200,1304900,2038800,2172200,2389200,,,,
10,307200,339700,371300,435700,497900,604100,766400,813100,905200,957200,1155700,1344300,2100200,2237300,2461100,,,,
11,316400,350600,383200,448300,512700,622600,789800,838400,932600,986100,1191200,1384900,2163200,2304100,2534200,,,,
12,325600,360900,395100,461500,528300,640800,813100,862900,959900,1016000,1226700,1426400,2228300,2373400,2610300,,,,
13,334600,371300,406500,476300,544300,660200,838400,889100,988500,1046100,1263100,1469900,2295100,2444100,2688600,,,,
14,345500,383200,418700,490600,559600,680200,862900,915400,1018700,1077500,1301500,1514400,2364100,2517200,2769700,,,,
15,355800,395100,431800,504700,576900,700600,889100,942800,1049000,1110000,1340100,1560100,2434900,2593100,2853500,,,,
16,366000,406500,444900,520300,593900,721700,915400,971300,1080400,1142600,1380700,1607000,2508000,2670300,,,,,
17,376900,418700,458100,536300,612100,744100,942800,1000400,1112900,1176800,1423000,1655600,2584100,2750300,,,,,
18,388300,431800,472100,551600,630300,766400,971300,1030800,1146700,1212300,1465800,1705100,2661100,2832400,,,,,
19,400200,444900,486500,568900,648800,789800,1000400,1061700,1181000,1248800,1510500,1755900,2741000,,,,,,
20,411600,458100,500800,585900,668200,813100,1030800,1093000,1216500,1286700,1556200,1808400,2823200,,,,,,
21,423800,472100,515200,603100,688200,838400,1061700,1126100,1252900,1326100,1603600,1862100,,,,,,,
22,436900,486500,531200,621400,708600,862900,1093000,1159800,1290600,1365400,1651400,1918200,,,,,,,
23,450000,500800,546500,639600,729700,889100,1126100,1195300,1329900,1406000,1701200,1975800,,,,,,,
24,463200,515200,563500,659000,752100,915400,1159800,1230600,1370500,1447600,1752500,2034600,,,,,,,
25,477500,531200,580800,678900,774400,942800,1195300,1267200,1411100,1491000,1804500,2096400,,,,,,,
26,491600,546500,597800,699600,797800,971300,1230600,1304900,1452700,1535000,1858200,2159100,,,,,,,
27,505900,563500,616200,720700,821100,1000400,1267200,1344300,1496200,1581200,1914800,2224200,,,,,,,
28,522000,580800,634500,742900,846400,1030800,1304900,1384900,1540600,1628100,1971900,2291000,,,,,,,
29,537300,597800,653900,765200,870900,1061700,1344300,1426400,1586300,1676700,2030800,2360300,,,,,,,
30,553300,616200,673400,788500,897200,1093000,1384900,1469900,1633200,1726300,2092200,2431000,,,,,,,
31,569800,634500,693300,812100,924600,1126100,1426400,1514400,1681800,1778300,2155200,2504100,,,,,,,
32,587100,653900,713900,837100,951800,1159800,1469900,1560100,1732600,1832000,2219100,2579000,,,,,,,
33,604100,673400,734800,861700,981000,1195300,1514400,1607000,1785100,1886700,2285900,2656000,,,,,,,
34,622600,693300,757200,887900,1010900,1230600,1560100,1655600,1838800,1943300,2353900,2735900,,,,,,,
35,640800,713900,779500,914200,1041000,1267200,1607000,1705100,1893700,2002100,2424700,,,,,,,,
36,660200,734800,802900,941600,1072400,1304900,1655600,1755900,1949600,2062100,2497800,,,,,,,,
37,680200,757200,826200,970300,1104900,1344300,1705100,1808400,2008400,2123800,2571900,,,,,,,,
38,700600,779500,851500,999200,1137500,1384900,1755900,1862100,2068900,2187700,2649700,,,,,,,,
39,721700,802900,877700,1029100,1171700,1426400,1808400,1918200,2130100,2253300,2729100,,,,,,,,
40,744100,826200,903500,1060500,1207200,1469900,1862100,1975800,2194500,2321400,,,,,,,,,
