Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,90900,100400,109400,128800,147300,178700,226400,240200,267800,283100,341600,397600,621000,661400,727400,919200,1036400,1135000,1261300
2,93400,103400,112900,132800,151900,184200,233200,247200,275800,291700,351700,409600,639800,681200,749200,947000,1067500,,
3,96400,106400,116500,136800,156400,189800,240200,254800,284100,300200,362200,421700,658900,701800,771800,975100,1099400,,
4,99400,109400,120000,140800,160900,195300,247200,262300,292700,309200,373200,434500,678500,722900,795200,1004500,1132000,,
5,102400,112900,123500,144800,165900,201300,254800,270300,301200,318300,384500,447500,698800,744700,818800,1034900,,,
6,105400,116500,127300,149300,170900,207300,262300,278600,310200,327800,396100,461100,719900,766800,843600,1066000,,,
7,108400,120000,131300,153900,176000,213300,270300,287100,319300,338100,408100,474600,741700,790100,868700,1097900,,,
8,111400,123500,135300,158400,181200,219900,278600,295700,329100,348100,420200,488900,763800,813700,895100,1130500,,,
9,115000,127300,139300,162900,186700,226400,287100,304700,339100,358700,433000,503500,786600,838100,921700,,,,
10,118500,131300,143300,167900,192300,233200,295700,313800,349100,369200,446000,518600,810200,863200,949500,,,,
11,122000,135300,147800,172900,197800,240200,304700,323300,359700,380500,459600,534400,834600,889000,977600,,,,
12,125500,139300,152400,178200,203800,247200,313800,333100,370200,392100,473100,550400,859700,915600,1007000,,,,
13,129300,143300,156900,183700,209800,254800,323300,343100,381500,403600,487400,567000,885500,943000,1037400,,,,
14,133300,147800,161400,189300,215900,262300,333100,353200,393100,415700,502000,584300,912100,971100,1068500,,,,
15,137300,152400,166400,194800,222400,270300,343100,363700,404600,428200,517100,601900,939500,1000500,1100900,,,,
16,141300,156900,171400,200800,229200,278600,353200,374700,416700,441000,532900,620000,967600,1030100,,,,,
17,145300,161400,176500,206800,236200,287100,363700,386000,429500,454100,548900,638800,997000,1061000,,,,,
18,149800,166400,182200,212800,243200,295700,374700,397600,442500,467600,565500,657900,1026600,1092900,,,,,
19,154400,171400,187700,219400,250200,304700,386000,409600,455600,481900,582800,677400,1057500,,,,,,
20,158900,176500,193300,225900,257800,313800,397600,421700,469100,496500,600400,697800,1089300,,,,,,
21,163400,182200,198800,232700,265300,323300,409600,434500,483400,511500,618500,718400,,,,,,,
22,168400,187700,204800,239700,273300,333100,421700,447500,498000,526600,637300,740200,,,,,,,
23,173400,193300,210800,246700,281600,343100,434500,461100,513000,542400,656400,762300,,,,,,,
24,178700,198800,217400,254300,290200,353200,447500,474600,528600,558500,675900,785100,,,,,,,
25,184200,204800,223900,261800,298700,363700,461100,488900,544400,575000,696300,808700,,,,,,,
26,189800,210800,230700,269800,307700,374700,474600,503500,560500,592400,716900,833100,,,,,,,
27,195300,217400,237700,278100,316800,386000,488900,518600,577000,609900,738700,858200,,,,,,,
28,201300,223900,244700,286600,326300,397600,503500,534400,594400,628000,760800,884000,,,,,,,
29,207300,230700,252300,295200,336100,409600,518600,550400,611900,646800,783600,910600,,,,,,,
30,213300,237700,259800,304200,346100,421700,534400,567000,630000,665900,807200,938000,,,,,,,
31,219900,244700,267300,313200,356700,434500,550400,584300,648800,686200,831300,966100,,,,,,,
32,226400,252300,275300,322800,367200,447500,567000,601900,668400,706800,856200,995000,,,,,,,
33,233200,259800,283600,332600,378300,461100,584300,620000,688700,727900,881800,1024600,,,,,,,
34,240200,267300,292200,342600,390100,474600,601900,638800,709300,749700,908100,1055500,,,,,,,
35,247200,275300,300700,352700,401600,488900,620000,657900,730400,772300,935500,,,,,,,,
36,254800,283600,309700,363200,413600,503500,638800,677400,752200,795700,963600,,,,,,,,
37,262300,292200,318800,374200,426200,518600,657900,697800,774800,819300,992500,,,,,,,,
38,270300,300700,328600,385500,439000,534400,677400,718400,798200,844100,1022100,,,,,,,,
39,278600,309700,338600,397100,452100,550400,697800,740200,821800,869200,1052900,,,,,,,,
40,287100,318800,348600,409100,465600,567000,718400,762300,846600,895600,,,,,,,,,
