CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,34600,38200,41700,49000,56100,68000,86200,91400,102000,107700,130000,151300,236400,251700,276900,349800,394400,432000,480000
2,35500,39400,43000,50500,57800,70100,88700,94100,105000,111000,133800,155900,243500,259200,285100,360400,406300,,
3,36700,40500,44400,52000,59500,72200,91400,97000,108100,114200,137900,160500,250800,267100,293800,371100,418400,,
4,37800,41700,45700,53600,61200,74300,94100,99800,111400,117700,142100,165300,258200,275100,302600,382300,430800,,
5,39000,43000,47000,55100,63200,76600,97000,102900,114600,121200,146300,170300,265900,283400,311600,393800,,,
6,40100,44400,48400,56800,65100,78900,99800,106000,118100,124800,150700,175500,274000,291800,321000,405700,,,
7,41300,45700,49900,58600,67000,81200,102900,109200,121500,128600,155300,180700,282200,300700,330600,417800,,,
8,42400,47000,51500,60300,68900,83700,106000,112500,125200,132500,159900,186000,290700,309700,340600,430300,,,
9,43800,48400,53000,62000,71000,86200,109200,116000,129000,136500,164700,191600,299300,318900,350800,,,,
10,45100,49900,54500,63900,73200,88700,112500,119400,132900,140500,169700,197400,308400,328500,361300,,,,
11,46500,51500,56300,65900,75300,91400,116000,123100,136900,144800,174900,203300,317600,338300,372100,,,,
12,47800,53000,58000,67800,77600,94100,119400,126700,140900,149200,180100,209500,327200,348500,383200,,,,
13,49200,54500,59700,69900,79900,97000,123100,130600,145200,153600,185500,215800,337000,358800,394800,,,,
14,50700,56300,61400,72000,82200,99800,126700,134400,149600,158200,191000,222300,347100,369600,406700,,,,
15,52200,58000,63400,74100,84700,102900,130600,138400,154000,163000,196800,229100,357500,380700,418900,,,,
16,53800,59700,65300,76400,87200,106000,134400,142700,158600,167800,202800,236000,368300,392100,,,,,
17,55300,61400,67200,78700,89900,109200,138400,146900,163400,172800,208900,243100,379400,403800,,,,,
18,57000,63400,69300,81000,92500,112500,142700,151300,168400,178000,215200,250400,390700,415900,,,,,
19,58800,65300,71400,83500,95200,116000,146900,155900,173400,183400,221800,257900,402400,,,,,,
20,60500,67200,73500,86000,98100,119400,151300,160500,178600,188900,228500,265500,414500,,,,,,
21,62200,69300,75600,88500,101000,123100,155900,165300,183900,194700,235400,273400,,,,,,,
22,64100,71400,78000,91200,104100,126700,160500,170300,189500,200400,242500,281700,,,,,,,
23,66000,73500,80300,93900,107100,130600,165300,175500,195300,206400,249800,290100,,,,,,,
24,68000,75600,82800,96800,110400,134400,170300,180700,201200,212500,257300,298800,,,,,,,
25,70100,78000,85200,99600,113700,138400,175500,186000,207200,218900,265000,307800,,,,,,,
26,72200,80300,87700,102700,117100,142700,180700,191600,213300,225400,272800,317000,,,,,,,
27,74300,82800,90400,105800,120600,146900,186000,197400,219600,232100,281100,326600,,,,,,,
28,76600,85200,93100,109100,124200,151300,191600,203300,226200,239000,289500,336400,,,,,,,
29,78900,87700,96000,112300,127900,155900,197400,209500,232900,246100,298200,346600,,,,,,,
30,81200,90400,98900,115800,131700,160500,203300,215800,239800,253400,307200,356900,,,,,,,
31,83700,93100,101800,119200,135700,165300,209500,222300,246900,261100,316400,367700,,,,,,,
32,86200,96000,104800,122900,139800,170300,215800,229100,254400,269000,325800,378600,,,,,,,
33,88700,98900,107900,126500,144000,175500,222300,236000,262100,277100,335600,390000,,,,,,,
34,91400,101800,111200,130400,148400,180700,229100,243100,270000,285300,345600,401700,,,,,,,
35,94100,104800,114400,134200,152800,186000,236000,250400,278000,294000,356000,,,,,,,,
36,97000,107900,117900,138200,157400,191600,243100,257900,286300,302800,366700,,,,,,,,
37,99800,111200,121300,142500,162200,197400,250400,265500,294900,311800,377700,,,,,,,,
38,102900,114400,125000,146700,167000,203300,257900,273400,303700,321200,389000,,,,,,,,
39,106000,117900,128800,151100,172000,209500,265500,281700,312800,330800,400700,,,,,,,,
40,109200,121300,132700,155700,177200,215800,273400,290100,322200,340800,,,,,,,,,
