Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,59400,65500,71500,84000,96100,116600,147900,156700,174800,184800,223000,259600,405400,431900,474900,600200,676600,741200,823600
2,61000,67500,73800,86700,99200,120200,152200,161500,180300,190400,229700,267500,417700,444700,489200,618300,697000,,
3,63000,69500,76000,89200,102100,123800,156700,166300,185500,196000,236600,275500,430200,458300,504100,636800,717800,,
4,65000,71500,78400,91900,105200,127400,161500,171200,191100,202000,243800,283600,443100,472000,519100,655900,739200,,
5,66800,73800,80700,94500,108400,131400,166300,176700,196700,207800,251000,292100,456300,486200,534700,675700,,,
6,68800,76000,83100,97600,111700,135400,171200,181900,202500,214100,258600,301000,470100,500600,550800,696100,,,
7,70800,78400,85600,100500,114900,139400,176700,187500,208500,220600,266400,310100,484200,515800,567300,716800,,,
8,72800,80700,88300,103400,118200,143700,181900,193100,214800,227300,274400,319300,498700,531400,584400,738300,,,
9,75100,83100,90900,106400,121800,147900,187500,198900,221400,234200,282700,328700,513500,547200,601800,,,,
10,77500,85600,93600,109700,125400,152200,193100,204900,227900,241100,291200,338700,529100,563600,619900,,,,
11,79600,88300,96500,112900,129100,156700,198900,211200,234900,248300,300100,348800,544800,580500,638400,,,,
12,82000,90900,99600,116200,133000,161500,204900,217400,241800,255900,309000,359500,561300,597800,657600,,,,
13,84300,93600,102400,119800,137000,166300,211200,224100,249100,263500,318200,370300,578100,615800,677300,,,,
14,86900,96500,105300,123400,141000,171200,217400,230600,256700,271500,327800,381500,595700,634200,697800,,,,
15,89600,99600,108800,127200,145300,176700,224100,237500,264300,279600,337700,393000,613400,653200,718800,,,,
16,92300,102400,112000,131000,149500,181900,230600,244700,272000,288000,347900,404900,631900,672600,,,,,
17,94800,105300,115300,135000,154200,187500,237500,252000,280400,296500,358400,417000,650900,692700,,,,,
18,97900,108800,118900,139000,158700,193100,244700,259600,288900,305300,369200,429500,670400,713500,,,,,
19,100800,112000,122500,143400,163400,198900,252000,267500,297400,314600,380500,442400,690500,,,,,,
20,103700,115300,126200,147500,168300,204900,259600,275500,306400,324200,392000,455600,711100,,,,,,
21,106800,118900,129800,151900,173200,211200,267500,283600,315700,333900,403800,469200,,,,,,,
22,110000,122500,133800,156400,178500,217400,275500,292100,325100,343900,416100,483300,,,,,,,
23,113300,126200,137700,161100,183900,224100,283600,301000,335000,354000,428600,497800,,,,,,,
24,116600,129800,141900,166000,189300,230600,292100,310100,345200,364700,441500,512600,,,,,,,
25,120200,133800,146200,171000,194900,237500,301000,319300,355500,375600,454700,528000,,,,,,,
26,123800,137700,150600,176300,200900,244700,310100,328700,366000,386800,468100,543900,,,,,,,
27,127400,141900,155100,181500,206900,252000,319300,338700,376800,398200,482200,560400,,,,,,,
28,131400,146200,159800,187200,213200,259600,328700,348800,388100,410100,496800,577200,,,,,,,
29,135400,150600,164700,192800,219400,267500,338700,359500,399600,422300,511500,594600,,,,,,,
30,139400,155100,169600,198600,226100,275500,348800,370300,411400,434800,527100,612300,,,,,,,
31,143700,159800,174700,204500,232900,283600,359500,381500,423700,448000,542800,630800,,,,,,,
32,147900,164700,179900,210900,239800,292100,370300,393000,436600,461600,559100,649600,,,,,,,
33,152200,169600,185200,217000,247100,301000,381500,404900,449600,475300,575800,669000,,,,,,,
34,156700,174700,190800,223700,254700,310100,393000,417000,463200,489600,593000,689100,,,,,,,
35,161500,179900,196400,230200,262300,319300,404900,429500,476900,504300,610700,,,,,,,,
36,166300,185200,202200,237100,270100,328700,417000,442400,491200,519500,629200,,,,,,,,
37,171200,190800,208200,244400,278400,338700,429500,455600,506100,535000,648000,,,,,,,,
38,176700,196400,214500,251600,286500,348800,442400,469200,521100,551100,667300,,,,,,,,
39,181900,202200,221000,259200,295200,359500,455600,483300,536700,567600,687400,,,,,,,,
40,187500,208200,227700,267200,304100,370300,469200,497800,552800,584600,,,,,,,,,
