Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,74500,82400,89900,105500,120800,146400,186000,197000,219900,232100,280200,326100,509600,542700,597000,754200,850100,931400,1034800
2,76500,84900,92800,108800,124600,151000,191200,202800,226500,239200,288500,336100,524800,558700,614600,776900,875900,,
3,79000,87400,95700,112100,128300,155600,197000,209000,233000,246300,297200,346100,540600,575700,633400,800200,901900,,
4,81500,89900,98600,115400,132100,160200,202800,215300,240000,253800,306400,356300,556800,593200,652300,824100,928900,,
5,84000,92800,101500,118800,136200,165200,209000,221900,247100,261200,315300,367100,573200,610900,671800,848800,,,
6,86500,95700,104200,122500,140400,170100,215300,228400,254600,269200,324900,378400,590700,629200,692000,874600,,,
7,89000,98600,107500,126300,144600,175100,221900,235500,262100,277300,334900,389600,608400,648100,712800,900600,,,
8,91500,101500,110900,130000,148500,180500,228400,242500,269800,285600,344900,401000,626700,667700,734200,927700,,,
9,94400,104200,114200,133700,153100,186000,235500,250000,278100,294300,355100,413100,645200,687400,756300,,,,
10,97300,107500,117500,137900,157700,191200,242500,257500,286400,303100,365900,425600,664800,708200,779000,,,,
11,100300,110900,121300,142100,162200,197000,250000,265400,295200,312000,377100,438300,684500,729200,802300,,,,
12,103200,114200,125000,146000,167200,202800,257500,273100,303900,321600,388300,451600,705300,751300,826200,,,,
13,105900,117500,128800,150600,172200,209000,265400,281400,312800,331100,399800,465300,726300,773600,850900,,,,
14,109200,121300,132500,155200,177200,215300,273100,289700,322400,341100,411800,479200,748400,796800,876700,,,,
15,112500,125000,136700,159700,182600,221900,281400,298500,332000,351500,424300,493800,770600,820800,903100,,,,
16,115900,128800,140800,164700,187800,228400,289700,307600,342000,361700,437000,508800,793900,845300,,,,,
17,119200,132500,144800,169700,193600,235500,298500,316600,352100,372500,450300,524000,817900,870500,,,,,
18,122900,136700,149300,174700,199500,242500,307600,326100,363000,383800,464000,539800,842400,896500,,,,,
19,126700,140800,153900,180100,205300,250000,316600,336100,373800,395200,478000,556000,867600,,,,,,
20,130400,144800,158500,185500,211500,257500,326100,346100,385000,407300,492500,572400,893600,,,,,,
21,134200,149300,163100,190700,217800,265400,336100,356300,396400,419700,507500,589500,,,,,,,
22,138300,153900,168100,196600,224400,273100,346100,367100,408500,432200,522700,607200,,,,,,,
23,142500,158500,173100,202400,230900,281400,356300,378400,421000,444900,538500,625500,,,,,,,
24,146400,163100,178500,208600,238000,289700,367100,389600,433900,458200,554700,644000,,,,,,,
25,151000,168100,183900,214900,245000,298500,378400,401000,446600,472000,571200,663500,,,,,,,
26,155600,173100,189100,221500,252500,307600,389600,413100,459900,485900,588200,683300,,,,,,,
27,160200,178500,194900,228000,260000,316600,401000,425600,473600,500400,605900,704100,,,,,,,
28,165200,183900,200700,235000,267900,326100,413100,438300,487600,515400,624200,725100,,,,,,,
29,170100,189100,207000,242100,275600,336100,425600,451600,502100,530600,642700,747100,,,,,,,
30,175100,194900,213200,249600,283900,346100,438300,465300,517100,546400,662300,769400,,,,,,,
31,180500,200700,219400,257100,292700,356300,451600,479200,532300,562800,682200,792700,,,,,,,
32,186000,207000,226100,265000,301400,367100,465300,493800,548500,579900,702400,816200,,,,,,,
33,191200,213200,232500,272700,310300,378400,479200,508800,564900,597400,723600,840700,,,,,,,
34,197000,219400,239600,281000,319900,389600,493800,524000,582000,615100,745100,865900,,,,,,,
35,202800,226100,246700,289300,329500,401000,508800,539800,599500,633800,767300,,,,,,,,
36,209000,232500,254200,298100,339500,413100,524000,556000,617100,652700,790600,,,,,,,,
37,215300,239600,261700,307200,349900,425600,539800,572400,635900,672300,814100,,,,,,,,
38,221900,246700,269400,316200,360000,438300,556000,589500,654800,692400,838700,,,,,,,,
39,228400,254200,277700,325700,370900,451600,572400,607200,674300,713200,863800,,,,,,,,
40,235500,261700,286000,335700,382100,465300,589500,625500,694500,734700,,,,,,,,,
