Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,74100,82000,89400,104900,120300,145700,185100,196000,218800,231000,278800,324600,507100,540100,594100,750600,846000,926900,1029800
2,76200,84500,92300,108300,124000,150300,190200,201800,225400,238000,287100,334500,522300,556000,611700,773100,871700,,
3,78700,86900,95200,111600,127700,154800,196000,208000,231800,245100,295800,344400,538000,573000,630300,796300,897600,,
4,81100,89400,98100,114900,131400,159400,201800,214200,238900,252500,304900,354600,554100,590400,649200,820100,924500,,
5,83600,92300,101000,118200,135600,164400,208000,220900,245900,260000,313800,365400,570500,608000,668600,844800,,,
6,86100,95200,103700,121900,139700,169300,214200,227300,253400,267900,323300,376500,587900,626200,688700,870400,,,
7,88600,98100,107000,125600,143900,174300,220900,234300,260800,275900,333300,387700,605500,645000,709400,896300,,,
8,91100,101000,110300,129400,147800,179700,227300,241400,268500,284200,343200,399100,623700,664500,730700,923200,,,
9,94000,103700,113600,133100,152400,185100,234300,248800,276800,292900,353300,411100,642100,684100,752700,,,,
10,96900,107000,117000,137200,156900,190200,241400,256300,285000,301600,364100,423500,661600,704800,775200,,,,
11,99800,110300,120700,141400,161500,196000,248800,264100,293700,310500,375300,436100,681200,725700,798400,,,,
12,102700,113600,124400,145300,166400,201800,256300,271800,302400,320000,386500,449400,701900,747700,822200,,,,
13,105400,117000,128100,149900,171400,208000,264100,280100,311300,329500,397900,463100,722800,769800,846800,,,,
14,108700,120700,131900,154400,176400,214200,271800,288400,320800,339500,409900,476900,744800,793000,872500,,,,
15,112000,124400,136000,159000,181700,220900,280100,297000,330400,349800,422300,491400,766900,816800,898800,,,,
16,115300,128100,140100,163900,186900,227300,288400,306200,340300,360000,434900,506300,790100,841200,,,,,
17,118600,131900,144100,168900,192700,234300,297000,315100,350500,370700,448200,521400,813900,866300,,,,,
18,122300,136000,148600,173900,198500,241400,306200,324600,361200,381900,461800,537200,838300,892200,,,,,
19,126100,140100,153200,179300,204300,248800,315100,334500,372000,393300,475700,553300,863400,,,,,,
20,129800,144100,157700,184600,210500,256300,324600,344400,383200,405300,490200,569700,889300,,,,,,
21,133500,148600,162300,189800,216700,264100,334500,354600,394500,417700,505100,586600,,,,,,,
22,137700,153200,167300,195600,223400,271800,344400,365400,406500,430100,520200,604200,,,,,,,
23,141800,157700,172200,201400,229800,280100,354600,376500,419000,442800,535900,622400,,,,,,,
24,145700,162300,177600,207600,236800,288400,365400,387700,431800,456000,552100,640900,,,,,,,
25,150300,167300,183000,213800,243800,297000,376500,399100,444400,469700,568400,660300,,,,,,,
26,154800,172200,188200,220500,251300,306200,387700,411100,457700,483600,585400,680000,,,,,,,
27,159400,177600,194000,226900,258700,315100,399100,423500,471300,498000,603000,700700,,,,,,,
28,164400,183000,199800,233900,266600,324600,411100,436100,485200,512900,621200,721600,,,,,,,
29,169300,188200,206000,240900,274300,334500,423500,449400,499700,528100,639600,743500,,,,,,,
30,174300,194000,212200,248400,282600,344400,436100,463100,514600,543800,659100,765700,,,,,,,
31,179700,199800,218400,255900,291200,354600,449400,476900,529700,560100,679000,788900,,,,,,,
32,185100,206000,225000,263700,299900,365400,463100,491400,545900,577100,699000,812300,,,,,,,
33,190200,212200,231400,271400,308800,376500,476900,506300,562200,594500,720200,836700,,,,,,,
34,196000,218400,238500,279700,318400,387700,491400,521400,579200,612100,741500,861700,,,,,,,
35,201800,225000,245500,287900,327900,399100,506300,537200,596600,630700,763600,,,,,,,,
36,208000,231400,253000,296600,337800,411100,521400,553300,614200,649600,786800,,,,,,,,
37,214200,238500,260400,305700,348200,423500,537200,569700,632800,669000,810200,,,,,,,,
38,220900,245500,268100,314600,358300,436100,553300,586600,651600,689100,834600,,,,,,,,
39,227300,253000,276300,324200,369100,449400,569700,604200,671100,709800,859700,,,,,,,,
40,234300,260400,284600,334100,380300,463100,586600,622400,691200,731100,,,,,,,,,
