CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,38200,42200,46000,54100,61900,75000,95200,100900,112600,118900,143500,167100,261000,277900,305700,386300,435400,477000,530000
2,39200,43500,47500,55800,63800,77400,97900,103900,116000,122500,147800,172100,268800,286200,314800,397900,448600,,
3,40500,44700,49000,57500,65700,79700,100900,107100,119400,126100,152200,177200,276900,294900,324400,409800,461900,,
4,41800,46000,50500,59100,67600,82000,103900,110200,123000,130000,156900,182500,285100,303800,334100,422100,475700,,
5,43000,47500,51900,60800,69700,84600,107100,113600,126600,133800,161500,188000,293600,312900,344100,434800,,,
6,44300,49000,53400,62800,71900,87100,110200,117000,130400,137800,166400,193800,302500,322200,354500,448000,,,
7,45600,50500,55100,64700,74000,89700,113600,120600,134200,142000,171500,199500,311600,332000,365100,461300,,,
8,46900,51900,56800,66600,76100,92400,117000,124200,138200,146300,176600,205400,321000,342000,376100,475100,,,
9,48300,53400,58500,68500,78400,95200,120600,128000,142500,150700,181900,211600,330500,352100,387300,,,,
10,49800,55100,60200,70600,80800,97900,124200,131900,146700,155200,187400,217900,340500,362700,399000,,,,
11,51300,56800,62100,72700,83100,100900,128000,135900,151200,159800,193100,224500,350600,373500,410900,,,,
12,52800,58500,64000,74800,85600,103900,131900,139900,155600,164700,198900,231300,361200,384800,423200,,,,
13,54300,60200,65900,77200,88200,107100,135900,144200,160300,169600,204800,238300,372100,396200,435900,,,,
14,56000,62100,67800,79500,90700,110200,139900,148400,165100,174700,210900,245500,383300,408100,449000,,,,
15,57700,64000,70000,81800,93500,113600,144200,152900,170000,180000,217300,252900,394700,420400,462600,,,,
16,59400,65900,72100,84400,96200,117000,148400,157500,175100,185300,223900,260500,406600,432900,,,,,
17,61100,67800,74200,86900,99200,120600,152900,162200,180400,190800,230700,268400,418900,445800,,,,,
18,63000,70000,76500,89500,102200,124200,157500,167100,185900,196500,237700,276400,431400,459200,,,,,
19,64900,72100,78900,92200,105200,128000,162200,172100,191400,202500,244900,284700,444400,,,,,,
20,66800,74200,81200,95000,108300,131900,167100,177200,197200,208600,252300,293200,457700,,,,,,
21,68700,76500,83500,97700,111500,135900,172100,182500,203100,215000,259900,301900,,,,,,,
22,70800,78900,86100,100700,114900,139900,177200,188000,209200,221300,267800,311000,,,,,,,
23,72900,81200,88600,103700,118300,144200,182500,193800,215600,227900,275800,320300,,,,,,,
24,75000,83500,91400,106800,121900,148400,188000,199500,222200,234700,284100,329900,,,,,,,
25,77400,86100,94100,110000,125500,152900,193800,205400,228700,241700,292600,339800,,,,,,,
26,79700,88600,96900,113400,129300,157500,199500,211600,235500,248900,301300,350000,,,,,,,
27,82000,91400,99900,116800,133100,162200,205400,217900,242500,256300,310400,360600,,,,,,,
28,84600,94100,102800,120400,137200,167100,211600,224500,249700,263900,319700,371400,,,,,,,
29,87100,96900,106000,124000,141200,172100,217900,231300,257200,271800,329200,382700,,,,,,,
30,89700,99900,109200,127800,145400,177200,224500,238300,264800,279800,339200,394100,,,,,,,
31,92400,102800,112400,131700,149900,182500,231300,245500,272600,288300,349400,406000,,,,,,,
32,95200,106000,115800,135700,154300,188000,238300,252900,280900,297000,359800,418100,,,,,,,
33,97900,109200,119100,139700,159000,193800,245500,260500,289400,305900,370600,430600,,,,,,,
34,100900,112400,122700,143900,163900,199500,252900,268400,298100,315000,381600,443500,,,,,,,
35,103900,115800,126400,148200,168800,205400,260500,276400,307000,324600,393000,,,,,,,,
36,107100,119100,130200,152600,173800,211600,268400,284700,316100,334300,404900,,,,,,,,
37,110200,122700,134000,157300,179100,217900,276400,293200,325600,344300,417000,,,,,,,,
38,113600,126400,138000,162000,184400,224500,284700,301900,335400,354700,429500,,,,,,,,
39,117000,130200,142300,166800,190000,231300,293200,311000,345300,365300,442400,,,,,,,,
40,120600,134000,146500,171900,195700,238300,301900,320300,355700,376300,,,,,,,,,
