CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,576000,636800,694400,816000,934400,1132800,1436800,1523200,1699200,1795200,2166400,2521600,3939200,4195200,4614400,5830400,6572800,7200000,8000000
2,592000,656000,716800,841600,963200,1168000,1478400,1568000,1750400,1849600,2230400,2598400,4057600,4320000,4752000,6006400,6771200,,
3,611200,675200,739200,867200,992000,1203200,1523200,1616000,1801600,1904000,2297600,2675200,4179200,4451200,4896000,6185600,6972800,,
4,630400,694400,761600,892800,1020800,1238400,1568000,1664000,1856000,1961600,2368000,2755200,4304000,4585600,5043200,6371200,7180800,,
5,649600,716800,784000,918400,1052800,1276800,1616000,1715200,1910400,2019200,2438400,2838400,4432000,4723200,5193600,6563200,,,
6,668800,739200,806400,947200,1084800,1315200,1664000,1766400,1968000,2080000,2512000,2924800,4566400,4864000,5350400,6761600,,,
7,688000,761600,832000,976000,1116800,1353600,1715200,1820800,2025600,2144000,2588800,3011200,4704000,5011200,5510400,6963200,,,
8,707200,784000,857600,1004800,1148800,1395200,1766400,1875200,2086400,2208000,2665600,3100800,4844800,5161600,5676800,7171200,,,
9,729600,806400,883200,1033600,1184000,1436800,1820800,1932800,2150400,2275200,2745600,3193600,4988800,5315200,5846400,,,,
10,752000,832000,908800,1065600,1219200,1478400,1875200,1990400,2214400,2342400,2828800,3289600,5139200,5475200,6022400,,,,
11,774400,857600,937600,1097600,1254400,1523200,1932800,2051200,2281600,2412800,2915200,3388800,5292800,5638400,6201600,,,,
12,796800,883200,966400,1129600,1292800,1568000,1990400,2112000,2348800,2486400,3001600,3491200,5452800,5808000,6387200,,,,
13,819200,908800,995200,1164800,1331200,1616000,2051200,2176000,2419200,2560000,3091200,3596800,5616000,5980800,6579200,,,,
14,844800,937600,1024000,1200000,1369600,1664000,2112000,2240000,2492800,2636800,3184000,3705600,5785600,6160000,6777600,,,,
15,870400,966400,1056000,1235200,1411200,1715200,2176000,2307200,2566400,2716800,3280000,3817600,5958400,6345600,6982400,,,,
16,896000,995200,1088000,1273600,1452800,1766400,2240000,2377600,2643200,2796800,3379200,3932800,6137600,6534400,,,,,
17,921600,1024000,1120000,1312000,1497600,1820800,2307200,2448000,2723200,2880000,3481600,4051200,6323200,6729600,,,,,
18,950400,1056000,1155200,1350400,1542400,1875200,2377600,2521600,2806400,2966400,3587200,4172800,6512000,6931200,,,,,
19,979200,1088000,1190400,1392000,1587200,1932800,2448000,2598400,2889600,3056000,3696000,4297600,6707200,,,,,,
20,1008000,1120000,1225600,1433600,1635200,1990400,2521600,2675200,2976000,3148800,3808000,4425600,6908800,,,,,,
21,1036800,1155200,1260800,1475200,1683200,2051200,2598400,2755200,3065600,3244800,3923200,4556800,,,,,,,
22,1068800,1190400,1299200,1520000,1734400,2112000,2675200,2838400,3158400,3340800,4041600,4694400,,,,,,,
23,1100800,1225600,1337600,1564800,1785600,2176000,2755200,2924800,3254400,3440000,4163200,4835200,,,,,,,
24,1132800,1260800,1379200,1612800,1840000,2240000,2838400,3011200,3353600,3542400,4288000,4979200,,,,,,,
25,1168000,1299200,1420800,1660800,1894400,2307200,2924800,3100800,3452800,3648000,4416000,5129600,,,,,,,
26,1203200,1337600,1462400,1712000,1952000,2377600,3011200,3193600,3555200,3756800,4547200,5283200,,,,,,,
27,1238400,1379200,1507200,1763200,2009600,2448000,3100800,3289600,3660800,3868800,4684800,5443200,,,,,,,
28,1276800,1420800,1552000,1817600,2070400,2521600,3193600,3388800,3769600,3984000,4825600,5606400,,,,,,,
29,1315200,1462400,1600000,1872000,2131200,2598400,3289600,3491200,3881600,4102400,4969600,5776000,,,,,,,
30,1353600,1507200,1648000,1929600,2195200,2675200,3388800,3596800,3996800,4224000,5120000,5948800,,,,,,,
31,1395200,1552000,1696000,1987200,2262400,2755200,3491200,3705600,4115200,4352000,5273600,6128000,,,,,,,
32,1436800,1600000,1747200,2048000,2329600,2838400,3596800,3817600,4240000,4483200,5430400,6310400,,,,,,,
33,1478400,1648000,1798400,2108800,2400000,2924800,3705600,3932800,4368000,4617600,5593600,6499200,,,,,,,
34,1523200,1696000,1852800,2172800,2473600,3011200,3817600,4051200,4499200,4755200,5760000,6694400,,,,,,,
35,1568000,1747200,1907200,2236800,2547200,3100800,3932800,4172800,4633600,4899200,5932800,,,,,,,,
36,1616000,1798400,1964800,2304000,2624000,3193600,4051200,4297600,4771200,5046400,6112000,,,,,,,,
37,1664000,1852800,2022400,2374400,2704000,3289600,4172800,4425600,4915200,5196800,6294400,,,,,,,,
38,1715200,1907200,2083200,2444800,2784000,3388800,4297600,4556800,5062400,5353600,6483200,,,,,,,,
39,1766400,1964800,2147200,2518400,2867200,3491200,4425600,4694400,5212800,5513600,6678400,,,,,,,,
40,1820800,2022400,2211200,2595200,2953600,3596800,4556800,4835200,5369600,5680000,,,,,,,,,
