Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,432000,477600,520800,612000,700800,849600,1077600,1142400,1274400,1346400,1624800,1891200,2954400,3146400,3460800,4372800,4929600,5400000,6000000
2,444000,492000,537600,631200,722400,876000,1108800,1176000,1312800,1387200,1672800,1948800,3043200,3240000,3564000,4504800,5078400,,
3,458400,506400,554400,650400,744000,902400,1142400,1212000,1351200,1428000,1723200,2006400,3134400,3338400,3672000,4639200,5229600,,
4,472800,520800,571200,669600,765600,928800,1176000,1248000,1392000,1471200,1776000,2066400,3228000,3439200,3782400,4778400,5385600,,
5,487200,537600,588000,688800,789600,957600,1212000,1286400,1432800,1514400,1828800,2128800,3324000,3542400,3895200,4922400,,,
6,501600,554400,604800,710400,813600,986400,1248000,1324800,1476000,1560000,1884000,2193600,3424800,3648000,4012800,5071200,,,
7,516000,571200,624000,732000,837600,1015200,1286400,1365600,1519200,1608000,1941600,2258400,3528000,3758400,4132800,5222400,,,
8,530400,588000,643200,753600,861600,1046400,1324800,1406400,1564800,1656000,1999200,2325600,3633600,3871200,4257600,5378400,,,
9,547200,604800,662400,775200,888000,1077600,1365600,1449600,1612800,1706400,2059200,2395200,3741600,3986400,4384800,,,,
10,564000,624000,681600,799200,914400,1108800,1406400,1492800,1660800,1756800,2121600,2467200,3854400,4106400,4516800,,,,
11,580800,643200,703200,823200,940800,1142400,1449600,1538400,1711200,1809600,2186400,2541600,3969600,4228800,4651200,,,,
12,597600,662400,724800,847200,969600,1176000,1492800,1584000,1761600,1864800,2251200,2618400,4089600,4356000,4790400,,,,
13,614400,681600,746400,873600,998400,1212000,1538400,1632000,1814400,1920000,2318400,2697600,4212000,4485600,4934400,,,,
14,633600,703200,768000,900000,1027200,1248000,1584000,1680000,1869600,1977600,2388000,2779200,4339200,4620000,5083200,,,,
15,652800,724800,792000,926400,1058400,1286400,1632000,1730400,1924800,2037600,2460000,2863200,4468800,4759200,5236800,,,,
16,672000,746400,816000,955200,1089600,1324800,1680000,1783200,1982400,2097600,2534400,2949600,4603200,4900800,,,,,
17,691200,768000,840000,984000,1123200,1365600,1730400,1836000,2042400,2160000,2611200,3038400,4742400,5047200,,,,,
18,712800,792000,866400,1012800,1156800,1406400,1783200,1891200,2104800,2224800,2690400,3129600,4884000,5198400,,,,,
19,734400,816000,892800,1044000,1190400,1449600,1836000,1948800,2167200,2292000,2772000,3223200,5030400,,,,,,
20,756000,840000,919200,1075200,1226400,1492800,1891200,2006400,2232000,2361600,2856000,3319200,5181600,,,,,,
21,777600,866400,945600,1106400,1262400,1538400,1948800,2066400,2299200,2433600,2942400,3417600,,,,,,,
22,801600,892800,974400,1140000,1300800,1584000,2006400,2128800,2368800,2505600,3031200,3520800,,,,,,,
23,825600,919200,1003200,1173600,1339200,1632000,2066400,2193600,2440800,2580000,3122400,3626400,,,,,,,
24,849600,945600,1034400,1209600,1380000,1680000,2128800,2258400,2515200,2656800,3216000,3734400,,,,,,,
25,876000,974400,1065600,1245600,1420800,1730400,2193600,2325600,2589600,2736000,3312000,3847200,,,,,,,
26,902400,1003200,1096800,1284000,1464000,1783200,2258400,2395200,2666400,2817600,3410400,3962400,,,,,,,
27,928800,1034400,1130400,1322400,1507200,1836000,2325600,2467200,2745600,2901600,3513600,4082400,,,,,,,
28,957600,1065600,1164000,1363200,1552800,1891200,2395200,2541600,2827200,2988000,3619200,4204800,,,,,,,
29,986400,1096800,1200000,1404000,1598400,1948800,2467200,2618400,2911200,3076800,3727200,4332000,,,,,,,
30,1015200,1130400,1236000,1447200,1646400,2006400,2541600,2697600,2997600,3168000,3840000,4461600,,,,,,,
31,1046400,1164000,1272000,1490400,1696800,2066400,2618400,2779200,3086400,3264000,3955200,4596000,,,,,,,
32,1077600,1200000,1310400,1536000,1747200,2128800,2697600,2863200,3180000,3362400,4072800,4732800,,,,,,,
33,1108800,1236000,1348800,1581600,1800000,2193600,2779200,2949600,3276000,3463200,4195200,4874400,,,,,,,
34,1142400,1272000,1389600,1629600,1855200,2258400,2863200,3038400,3374400,3566400,4320000,5020800,,,,,,,
35,1176000,1310400,1430400,1677600,1910400,2325600,2949600,3129600,3475200,3674400,4449600,,,,,,,,
36,1212000,1348800,1473600,1728000,1968000,2395200,3038400,3223200,3578400,3784800,4584000,,,,,,,,
37,1248000,1389600,1516800,1780800,2028000,2467200,3129600,3319200,3686400,3897600,4720800,,,,,,,,
38,1286400,1430400,1562400,1833600,2088000,2541600,3223200,3417600,3796800,4015200,4862400,,,,,,,,
39,1324800,1473600,1610400,1888800,2150400,2618400,3319200,3520800,3909600,4135200,5008800,,,,,,,,
40,1365600,1516800,1658400,1946400,2215200,2697600,3417600,3626400,4027200,4260000,,,,,,,,,
