Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,95800,105800,115800,135900,155400,188600,239100,253400,282800,298700,360600,419600,655600,698200,768000,970300,1093900,1198400,1331400
2,98500,109300,119400,140200,160400,194400,246100,261100,291400,308000,371200,432500,675300,719100,790900,999700,1127100,,
3,101600,112300,123100,144500,165000,200200,253400,269000,299900,316900,382400,445300,695500,740800,814800,1029400,1160400,,
4,105000,115800,126700,148400,169800,206100,261100,277000,308800,326600,394300,458500,716300,763000,839300,1060400,1195300,,
5,108100,119400,130500,152700,175100,212400,269000,285600,318100,336000,406000,472300,737700,786100,864400,1092500,,,
6,111500,123100,134100,157700,180600,218900,277000,293800,327500,346100,418100,486700,760100,809700,890400,1125500,,,
7,114400,126700,138300,162400,185900,225200,285600,303000,337000,356900,430900,501000,783000,834100,917100,1158900,,,
8,117800,130500,142600,167100,191300,232400,293800,312200,347100,367600,443600,516100,806300,859300,944900,1193400,,,
9,121600,134100,146900,172000,197200,239100,303000,321700,357900,378600,456900,531600,830400,884600,973000,,,,
10,125200,138300,151200,177200,203000,246100,312200,331200,368500,389900,470800,547500,855200,911300,1002400,,,,
11,128900,142600,156100,182800,208800,253400,321700,341300,379800,401500,485100,564100,881000,938400,1032200,,,,
12,132500,146900,160700,187900,215100,261100,331200,351400,390900,413800,499500,580900,907500,966700,1063100,,,,
13,136300,151200,165500,193700,221600,269000,341300,362200,402500,426100,514500,598700,934900,995400,1094900,,,,
14,140600,156100,170500,199600,228100,277000,351400,372800,414700,439000,529800,616800,962900,1025300,1127900,,,,
15,144800,160700,175600,205700,234800,285600,362200,384100,427000,452100,546000,635400,991800,1056100,1162300,,,,
16,149100,165500,181300,212000,241800,293800,372800,395700,439800,465600,562200,654400,1021400,1087600,,,,,
17,153400,170500,186400,218200,249100,303000,384100,407300,453300,479300,579300,674300,1052300,1120000,,,,,
18,158200,175600,192200,224700,256800,312200,395700,419600,467200,493700,597100,694600,1083800,1153700,,,,,
19,162800,181300,198000,231700,264200,321700,407300,432500,480900,508700,615300,715300,1116300,,,,,,
20,167800,186400,203800,238700,272100,331200,419600,445300,495200,523900,633900,736500,1150000,,,,,,
21,172700,192200,210000,245600,280100,341300,432500,458500,510300,540000,652900,758600,,,,,,,
22,177800,198000,216100,252900,288600,351400,445300,472300,525500,556100,672700,781500,,,,,,,
23,183300,203800,222500,260400,297200,362200,458500,486700,541700,572300,693100,804700,,,,,,,
24,188600,210000,229500,268500,306100,372800,472300,501000,558300,589600,713800,828700,,,,,,,
25,194400,216100,236700,276300,315300,384100,486700,516100,574600,607200,735000,853600,,,,,,,
26,200200,222500,243300,284900,324700,395700,501000,531600,591700,625300,757000,879500,,,,,,,
27,206100,229500,251000,293600,334500,407300,516100,547500,609400,644000,779600,906000,,,,,,,
28,212400,236700,258400,302500,344700,419600,531600,564100,627600,663000,803200,933000,,,,,,,
29,218900,243300,266200,311600,354800,432500,547500,580900,646200,682800,827100,961400,,,,,,,
30,225200,251000,274300,321100,365400,445300,564100,598700,665200,703200,852100,990300,,,,,,,
31,232400,258400,282200,330900,376500,458500,580900,616800,685000,724200,877900,1019800,,,,,,,
32,239100,266200,290700,341000,387800,472300,598700,635400,705900,746200,903900,1050100,,,,,,,
33,246100,274300,299400,351100,399500,486700,616800,654400,726900,768600,931100,1081700,,,,,,,
34,253400,282200,308300,361500,411800,501000,635400,674300,748600,791600,958600,1114200,,,,,,,
35,261100,290700,317400,372300,423900,516100,654400,694600,771400,815500,987500,,,,,,,,
36,269000,299400,327000,383600,436700,531600,674300,715300,794000,840000,1017100,,,,,,,,
37,277000,308300,336700,395200,449900,547500,694600,736500,818200,865100,1047700,,,,,,,,
38,285600,317400,346800,406800,463400,564100,715300,758600,842700,891100,1079000,,,,,,,,
39,293800,327000,357600,419100,477300,580900,736500,781500,867500,917600,1111300,,,,,,,,
40,303000,336700,368000,431900,491600,598700,758600,804700,893800,945300,,,,,,,,,
