CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,57100,63100,68800,80800,92600,112200,142300,150900,168300,177800,214600,249800,390200,415600,457100,577600,651100,713200,792500
2,58600,65000,71000,83400,95400,115700,146500,155300,173400,183200,220900,257400,402000,428000,470700,595000,670800,,
3,60500,66900,73200,85900,98300,119200,150900,160100,178500,188600,227600,265000,414000,440900,485000,612800,690700,,
4,62400,68800,75400,88400,101100,122700,155300,164800,183900,194300,234600,272900,426400,454300,499600,631100,711300,,
5,64400,71000,77700,91000,104300,126500,160100,169900,189200,200000,241600,281200,439000,467900,514500,650200,,,
6,66300,73200,79900,93800,107500,130300,164800,175000,195000,206000,248800,289700,452400,481800,530000,669800,,,
7,68200,75400,82400,96700,110600,134100,169900,180400,200700,212400,256500,298300,466000,496400,545900,689800,,,
8,70100,77700,85000,99500,113800,138200,175000,185800,206700,218700,264100,307200,479900,511300,562400,710400,,,
9,72300,79900,87500,102400,117300,142300,180400,191500,213000,225400,272000,316400,494200,526500,579200,,,,
10,74500,82400,90000,105600,120800,146500,185800,197200,219400,232000,280200,325900,509100,542400,596600,,,,
11,76700,85000,92900,108700,124300,150900,191500,203200,226000,239000,288800,335700,524300,558600,614300,,,,
12,78900,87500,95700,111900,128100,155300,197200,209200,232700,246300,297300,345800,540200,575400,632700,,,,
13,81200,90000,98600,115400,131900,160100,203200,215600,239700,253600,306200,356300,556300,592500,651800,,,,
14,83700,92900,101400,118900,135700,164800,209200,221900,246900,261200,315400,367100,573100,610200,671400,,,,
15,86200,95700,104600,122400,139800,169900,215600,228600,254200,269100,324900,378200,590300,628600,691700,,,,
16,88800,98600,107800,126200,143900,175000,221900,235500,261800,277100,334800,389600,608000,647300,,,,,
17,91300,101400,111000,130000,148400,180400,228600,242500,269800,285300,344900,401300,626400,666700,,,,,
18,94100,104600,114400,133800,152800,185800,235500,249800,278000,293900,355400,413400,645100,686600,,,,,
19,97000,107800,117900,137900,157200,191500,242500,257400,286300,302700,366100,425700,664400,,,,,,
20,99900,111000,121400,142000,162000,197200,249800,265000,294800,311900,377200,438400,684400,,,,,,
21,102700,114400,124900,146100,166700,203200,257400,272900,303700,321400,388600,451400,,,,,,,
22,105900,117900,128700,150600,171800,209200,265000,281200,312900,330900,400400,465000,,,,,,,
23,109000,121400,132500,155000,176900,215600,272900,289700,322400,340800,412400,479000,,,,,,,
24,112200,124900,136600,159800,182300,221900,281200,298300,332200,350900,424800,493300,,,,,,,
25,115700,128700,140700,164500,187700,228600,289700,307200,342000,361400,437500,508200,,,,,,,
26,119200,132500,144900,169600,193400,235500,298300,316400,352200,372200,450500,523400,,,,,,,
27,122700,136600,149300,174700,199100,242500,307200,325900,362600,383300,464100,539200,,,,,,,
28,126500,140700,153700,180100,205100,249800,316400,335700,373400,394700,478000,555400,,,,,,,
29,130300,144900,158500,185400,211100,257400,325900,345800,384500,406400,492300,572200,,,,,,,
30,134100,149300,163300,191200,217500,265000,335700,356300,395900,418400,507200,589300,,,,,,,
31,138200,153700,168000,196900,224100,272900,345800,367100,407700,431100,522400,607100,,,,,,,
32,142300,158500,173100,202900,230800,281200,356300,378200,420000,444100,537900,625100,,,,,,,
33,146500,163300,178200,208900,237800,289700,367100,389600,432700,457400,554100,643800,,,,,,,
34,150900,168000,183500,215200,245000,298300,378200,401300,445700,471100,570600,663200,,,,,,,
35,155300,173100,188900,221600,252300,307200,389600,413400,459000,485300,587700,,,,,,,,
36,160100,178200,194600,228200,259900,316400,401300,425700,472600,499900,605500,,,,,,,,
37,164800,183500,200300,235200,267900,325900,413400,438400,486900,514800,623500,,,,,,,,
38,169900,188900,206400,242200,275800,335700,425700,451400,501500,530300,642200,,,,,,,,
39,175000,194600,212700,249500,284000,345800,438400,465000,516400,546200,661600,,,,,,,,
40,180400,200300,219000,257100,292600,356300,451400,479000,531900,562700,,,,,,,,,
