Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,96800,107200,116800,137200,157200,190600,241600,256200,285800,302000,364200,424200,662500,705500,776000,980400,1105400,1210700,1345400
2,99600,110200,120600,141500,161900,196500,248600,263700,294500,311100,375100,436900,682400,726600,799200,1010000,1138800,,
3,102700,113500,124300,145900,166800,202300,256200,271700,302900,320300,386300,449800,702900,748500,823400,1040300,1172600,,
4,106000,116800,128100,150200,171800,208200,263700,279900,312100,329900,398300,463400,723800,771300,848100,1071400,1207700,,
5,109300,120600,131800,154400,177000,214800,271700,288300,321200,339600,410100,477300,745400,794300,873500,1103800,,,
6,112600,124300,135600,159300,182400,221100,279900,297000,330900,349700,422500,491900,768000,818000,899800,1137200,,,
7,115600,128100,139800,164000,187800,227700,288300,306200,340800,360500,435500,506400,791000,842700,926600,1171000,,,
8,118900,131800,144300,169000,193200,234500,297000,315400,350900,371300,448400,521500,814700,868100,954600,1206000,,,
9,122700,135600,148500,173900,199000,241600,306200,325000,361700,382600,461800,537000,839000,893900,983200,,,,
10,126400,139800,152800,179300,204900,248600,315400,334600,372500,393900,475600,553200,864300,920700,1012800,,,,
11,130200,144300,157700,184500,211000,256200,325000,345000,383800,405800,490200,569900,890200,948200,1042900,,,,
12,134000,148500,162600,189900,217400,263700,334600,355100,395000,418100,504800,587000,917000,976700,1074200,,,,
13,137700,152800,167300,196000,224000,271700,345000,365900,406800,430500,519800,604900,944500,1005800,1106400,,,,
14,142200,157700,172300,201900,230300,279900,355100,376700,419200,443400,535600,623200,972900,1035900,1139800,,,,
15,146400,162600,177700,207700,237400,288300,365900,388000,431700,456800,551500,642000,1002000,1067100,1174300,,,,
16,150600,167300,183100,214100,244400,297000,376700,399700,444600,470200,568200,661300,1032100,1098900,,,,,
17,155100,172300,188500,220700,251900,306200,388000,411700,458000,484300,585600,681300,1063400,1131800,,,,,
18,159800,177700,194300,227000,259400,315400,399700,424200,471900,498900,603200,701700,1095100,1165600,,,,,
19,164700,183100,200200,234100,267000,325000,411700,436900,486000,513900,621600,722600,1128000,,,,,,
20,169400,188500,206100,241100,275000,334600,424200,449800,500600,529500,640400,744200,1161800,,,,,,
21,174400,194300,212000,248200,283200,345000,436900,463400,515600,545700,659900,766300,,,,,,,
22,179800,200200,218600,255700,291600,355100,449800,477300,531100,561900,679600,789400,,,,,,,
23,185200,206100,224900,263200,300300,365900,463400,491900,547300,578600,700100,813100,,,,,,,
24,190600,212000,231900,271200,309500,376700,477300,506400,564000,595700,721200,837300,,,,,,,
25,196500,218600,239000,279400,318700,388000,491900,521500,580700,613600,742600,862700,,,,,,,
26,202300,224900,246000,287900,328300,399700,506400,537000,597800,631700,764700,888500,,,,,,,
27,208200,231900,253600,296600,337900,411700,521500,553200,615700,650700,788000,915300,,,,,,,
28,214800,239000,261100,305700,348300,424200,537000,569900,634000,670000,811500,942800,,,,,,,
29,221100,246000,269100,314900,358400,436900,553200,587000,652800,690000,835700,971300,,,,,,,
30,227700,253600,277100,324500,369200,449800,569900,604900,672100,710400,861000,1000400,,,,,,,
31,234500,261100,285300,334200,380500,463400,587000,623200,692100,731800,886900,1030500,,,,,,,
32,241600,269100,293800,344500,391700,477300,604900,642000,713000,753900,913200,1061300,,,,,,,
33,248600,277100,302400,354600,403700,491900,623200,661300,734600,776400,940700,1093000,,,,,,,
34,256200,285300,311600,365400,416000,506400,642000,681300,756700,799700,968700,1125900,,,,,,,
35,263700,293800,320800,376200,428400,521500,661300,701700,779300,823900,997800,,,,,,,,
36,271700,302400,330400,387500,441300,537000,681300,722600,802300,848600,1027900,,,,,,,,
37,279900,311600,340000,399300,454700,553200,701700,744200,826500,874000,1058400,,,,,,,,
38,288300,320800,350400,411200,468100,569900,722600,766300,851400,900300,1090400,,,,,,,,
39,297000,330400,361200,423500,482200,587000,744200,789400,876600,927300,1123100,,,,,,,,
40,306200,340000,371800,436400,496800,604900,766300,813100,903100,955300,,,,,,,,,
