Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,3456000,3820800,4166400,4896000,5606400,6796800,8620800,9139200,10195200,10771200,12998400,15129600,23635200,25171200,27686400,34982400,39436800,43200000,48000000
2,3552000,3936000,4300800,5049600,5779200,7008000,8870400,9408000,10502400,11097600,13382400,15590400,24345600,25920000,28512000,36038400,40627200,,
3,3667200,4051200,4435200,5203200,5952000,7219200,9139200,9696000,10809600,11424000,13785600,16051200,25075200,26707200,29376000,37113600,41836800,,
4,3782400,4166400,4569600,5356800,6124800,7430400,9408000,9984000,11136000,11769600,14208000,16531200,25824000,27513600,30259200,38227200,43084800,,
5,3897600,4300800,4704000,5510400,6316800,7660800,9696000,10291200,11462400,12115200,14630400,17030400,26592000,28339200,31161600,39379200,,,
6,4012800,4435200,4838400,5683200,6508800,7891200,9984000,10598400,11808000,12480000,15072000,17548800,27398400,29184000,32102400,40569600,,,
7,4128000,4569600,4992000,5856000,6700800,8121600,10291200,10924800,12153600,12864000,15532800,18067200,28224000,30067200,33062400,41779200,,,
8,4243200,4704000,5145600,6028800,6892800,8371200,10598400,11251200,12518400,13248000,15993600,18604800,29068800,30969600,34060800,43027200,,,
9,4377600,4838400,5299200,6201600,7104000,8620800,10924800,11596800,12902400,13651200,16473600,19161600,29932800,31891200,35078400,,,,
10,4512000,4992000,5452800,6393600,7315200,8870400,11251200,11942400,13286400,14054400,16972800,19737600,30835200,32851200,36134400,,,,
11,4646400,5145600,5625600,6585600,7526400,9139200,11596800,12307200,13689600,14476800,17491200,20332800,31756800,33830400,37209600,,,,
12,4780800,5299200,5798400,6777600,7756800,9408000,11942400,12672000,14092800,14918400,18009600,20947200,32716800,34848000,38323200,,,,
13,4915200,5452800,5971200,6988800,7987200,9696000,12307200,13056000,14515200,15360000,18547200,21580800,33696000,35884800,39475200,,,,
14,5068800,5625600,6144000,7200000,8217600,9984000,12672000,13440000,14956800,15820800,19104000,22233600,34713600,36960000,40665600,,,,
15,5222400,5798400,6336000,7411200,8467200,10291200,13056000,13843200,15398400,16300800,19680000,22905600,35750400,38073600,41894400,,,,
16,5376000,5971200,6528000,7641600,8716800,10598400,13440000,14265600,15859200,16780800,20275200,23596800,36825600,39206400,,,,,
17,5529600,6144000,6720000,7872000,8985600,10924800,13843200,14688000,16339200,17280000,20889600,24307200,37939200,40377600,,,,,
18,5702400,6336000,6931200,8102400,9254400,11251200,14265600,15129600,16838400,17798400,21523200,25036800,39072000,41587200,,,,,
19,5875200,6528000,7142400,8352000,9523200,11596800,14688000,15590400,17337600,18336000,22176000,25785600,40243200,,,,,,
20,6048000,6720000,7353600,8601600,9811200,11942400,15129600,16051200,17856000,18892800,22848000,26553600,41452800,,,,,,
21,6220800,6931200,7564800,8851200,10099200,12307200,15590400,16531200,18393600,19468800,23539200,27340800,,,,,,,
22,6412800,7142400,7795200,9120000,10406400,12672000,16051200,17030400,18950400,20044800,24249600,28166400,,,,,,,
23,6604800,7353600,8025600,9388800,10713600,13056000,16531200,17548800,19526400,20640000,24979200,29011200,,,,,,,
24,6796800,7564800,8275200,9676800,11040000,13440000,17030400,18067200,20121600,21254400,25728000,29875200,,,,,,,
25,7008000,7795200,8524800,9964800,11366400,13843200,17548800,18604800,20716800,21888000,26496000,30777600,,,,,,,
26,7219200,8025600,8774400,10272000,11712000,14265600,18067200,19161600,21331200,22540800,27283200,31699200,,,,,,,
27,7430400,8275200,9043200,10579200,12057600,14688000,18604800,19737600,21964800,23212800,28108800,32659200,,,,,,,
28,7660800,8524800,9312000,10905600,12422400,15129600,19161600,20332800,22617600,23904000,28953600,33638400,,,,,,,
29,7891200,8774400,9600000,11232000,12787200,15590400,19737600,20947200,23289600,24614400,29817600,34656000,,,,,,,
30,8121600,9043200,9888000,11577600,13171200,16051200,20332800,21580800,23980800,25344000,30720000,35692800,,,,,,,
31,8371200,9312000,10176000,11923200,13574400,16531200,20947200,22233600,24691200,26112000,31641600,36768000,,,,,,,
32,8620800,9600000,10483200,12288000,13977600,17030400,21580800,22905600,25440000,26899200,32582400,37862400,,,,,,,
33,8870400,9888000,10790400,12652800,14400000,17548800,22233600,23596800,26208000,27705600,33561600,38995200,,,,,,,
34,9139200,10176000,11116800,13036800,14841600,18067200,22905600,24307200,26995200,28531200,34560000,40166400,,,,,,,
35,9408000,10483200,11443200,13420800,15283200,18604800,23596800,25036800,27801600,29395200,35596800,,,,,,,,
36,9696000,10790400,11788800,13824000,15744000,19161600,24307200,25785600,28627200,30278400,36672000,,,,,,,,
37,9984000,11116800,12134400,14246400,16224000,19737600,25036800,26553600,29491200,31180800,37766400,,,,,,,,
38,10291200,11443200,12499200,14668800,16704000,20332800,25785600,27340800,30374400,32121600,38899200,,,,,,,,
39,10598400,11788800,12883200,15110400,17203200,20947200,26553600,28166400,31276800,33081600,40070400,,,,,,,,
40,10924800,12134400,13267200,15571200,17721600,21580800,27340800,29011200,32217600,34080000,,,,,,,,,
