Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,33800,37400,40800,47900,54900,66600,84400,89500,99800,105500,127300,148100,231400,246500,271100,342500,386200,423000,470000
2,34800,38500,42100,49400,56600,68600,86900,92100,102800,108700,131000,152700,238400,253800,279200,352900,397800,,
3,35900,39700,43400,50900,58300,70700,89500,94900,105800,111900,135000,157200,245500,261500,287600,363400,409700,,
4,37000,40800,44700,52500,60000,72800,92100,97800,109000,115200,139100,161900,252900,269400,296300,374300,421900,,
5,38200,42100,46100,54000,61900,75000,94900,100800,112200,118600,143300,166800,260400,277500,305100,385600,,,
6,39300,43400,47400,55600,63700,77300,97800,103800,115600,122200,147600,171800,268300,285800,314300,397200,,,
7,40400,44700,48900,57300,65600,79500,100800,107000,119000,126000,152100,176900,276400,294400,323700,409100,,,
8,41500,46100,50400,59000,67500,82000,103800,110200,122600,129700,156600,182200,284600,303200,333500,421300,,,
9,42900,47400,51900,60700,69600,84400,107000,113600,126300,133700,161300,187600,293100,312300,343500,,,,
10,44200,48900,53400,62600,71600,86900,110200,116900,130100,137600,166200,193300,301900,321700,353800,,,,
11,45500,50400,55100,64500,73700,89500,113600,120500,134000,141800,171300,199100,311000,331300,364300,,,,
12,46800,51900,56800,66400,76000,92100,116900,124100,138000,146100,176300,205100,320400,341200,375200,,,,
13,48100,53400,58500,68400,78200,94900,120500,127800,142100,150400,181600,211300,329900,351400,386500,,,,
14,49600,55100,60200,70500,80500,97800,124100,131600,146500,154900,187100,217700,339900,361900,398200,,,,
15,51100,56800,62000,72600,82900,100800,127800,135500,150800,159600,192700,224300,350100,372800,410200,,,,
16,52600,58500,63900,74800,85400,103800,131600,139700,155300,164300,198500,231100,360600,383900,,,,,
17,54100,60200,65800,77100,88000,107000,135500,143800,160000,169200,204500,238000,371500,395400,,,,,
18,55800,62000,67900,79300,90600,110200,139700,148100,164900,174300,210700,245200,382600,407200,,,,,
19,57500,63900,69900,81800,93200,113600,143800,152700,169800,179500,217100,252500,394000,,,,,,
20,59200,65800,72000,84200,96100,116900,148100,157200,174800,185000,223700,260000,405900,,,,,,
21,60900,67900,74100,86700,98900,120500,152700,161900,180100,190600,230500,267700,,,,,,,
22,62800,69900,76300,89300,101900,124100,157200,166800,185600,196300,237400,275800,,,,,,,
23,64700,72000,78600,91900,104900,127800,161900,171800,191200,202100,244600,284100,,,,,,,
24,66600,74100,81000,94800,108100,131600,166800,176900,197000,208100,251900,292500,,,,,,,
25,68600,76300,83500,97600,111300,135500,171800,182200,202900,214300,259400,301400,,,,,,,
26,70700,78600,85900,100600,114700,139700,176900,187600,208900,220700,267100,310400,,,,,,,
27,72800,81000,88500,103600,118100,143800,182200,193300,215100,227300,275200,319800,,,,,,,
28,75000,83500,91200,106800,121600,148100,187600,199100,221500,234100,283500,329400,,,,,,,
29,77300,85900,94000,110000,125200,152700,193300,205100,228000,241000,292000,339300,,,,,,,
30,79500,88500,96800,113400,129000,157200,199100,211300,234800,248200,300800,349500,,,,,,,
31,82000,91200,99600,116700,132900,161900,205100,217700,241800,255700,309800,360000,,,,,,,
32,84400,94000,102600,120300,136900,166800,211300,224300,249100,263400,319000,370700,,,,,,,
33,86900,96800,105700,123900,141000,171800,217700,231100,256600,271300,328600,381800,,,,,,,
34,89500,99600,108900,127700,145300,176900,224300,238000,264300,279400,338400,393300,,,,,,,
35,92100,102600,112000,131400,149600,182200,231100,245200,272200,287800,348600,,,,,,,,
36,94900,105700,115400,135400,154200,187600,238000,252500,280300,296500,359100,,,,,,,,
37,97800,108900,118800,139500,158900,193300,245200,260000,288800,305300,369800,,,,,,,,
38,100800,112000,122400,143600,163600,199100,252500,267700,297400,314500,380900,,,,,,,,
39,103800,115400,126100,148000,168400,205100,260000,275800,306300,323900,392400,,,,,,,,
40,107000,118800,129900,152500,173500,211300,267700,284100,315500,333700,,,,,,,,,
