Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,67600,74800,81600,95800,109800,133200,168800,179000,199600,211000,254600,296200,462800,493000,542200,685000,772400,846000,940000
2,69600,77000,84200,98800,113200,137200,173800,184200,205600,217400,262000,305400,476800,507600,558400,705800,795600,,
3,71800,79400,86800,101800,116600,141400,179000,189800,211600,223800,270000,314400,491000,523000,575200,726800,819400,,
4,74000,81600,89400,105000,120000,145600,184200,195600,218000,230400,278200,323800,505800,538800,592600,748600,843800,,
5,76400,84200,92200,108000,123800,150000,189800,201600,224400,237200,286600,333600,520800,555000,610200,771200,,,
6,78600,86800,94800,111200,127400,154600,195600,207600,231200,244400,295200,343600,536600,571600,628600,794400,,,
7,80800,89400,97800,114600,131200,159000,201600,214000,238000,252000,304200,353800,552800,588800,647400,818200,,,
8,83000,92200,100800,118000,135000,164000,207600,220400,245200,259400,313200,364400,569200,606400,667000,842600,,,
9,85800,94800,103800,121400,139200,168800,214000,227200,252600,267400,322600,375200,586200,624600,687000,,,,
10,88400,97800,106800,125200,143200,173800,220400,233800,260200,275200,332400,386600,603800,643400,707600,,,,
11,91000,100800,110200,129000,147400,179000,227200,241000,268000,283600,342600,398200,622000,662600,728600,,,,
12,93600,103800,113600,132800,152000,184200,233800,248200,276000,292200,352600,410200,640800,682400,750400,,,,
13,96200,106800,117000,136800,156400,189800,241000,255600,284200,300800,363200,422600,659800,702800,773000,,,,
14,99200,110200,120400,141000,161000,195600,248200,263200,293000,309800,374200,435400,679800,723800,796400,,,,
15,102200,113600,124000,145200,165800,201600,255600,271000,301600,319200,385400,448600,700200,745600,820400,,,,
16,105200,117000,127800,149600,170800,207600,263200,279400,310600,328600,397000,462200,721200,767800,,,,,
17,108200,120400,131600,154200,176000,214000,271000,287600,320000,338400,409000,476000,743000,790800,,,,,
18,111600,124000,135800,158600,181200,220400,279400,296200,329800,348600,421400,490400,765200,814400,,,,,
19,115000,127800,139800,163600,186400,227200,287600,305400,339600,359000,434200,505000,788000,,,,,,
20,118400,131600,144000,168400,192200,233800,296200,314400,349600,370000,447400,520000,811800,,,,,,
21,121800,135800,148200,173400,197800,241000,305400,323800,360200,381200,461000,535400,,,,,,,
22,125600,139800,152600,178600,203800,248200,314400,333600,371200,392600,474800,551600,,,,,,,
23,129400,144000,157200,183800,209800,255600,323800,343600,382400,404200,489200,568200,,,,,,,
24,133200,148200,162000,189600,216200,263200,333600,353800,394000,416200,503800,585000,,,,,,,
25,137200,152600,167000,195200,222600,271000,343600,364400,405800,428600,518800,602800,,,,,,,
26,141400,157200,171800,201200,229400,279400,353800,375200,417800,441400,534200,620800,,,,,,,
27,145600,162000,177000,207200,236200,287600,364400,386600,430200,454600,550400,639600,,,,,,,
28,150000,167000,182400,213600,243200,296200,375200,398200,443000,468200,567000,658800,,,,,,,
29,154600,171800,188000,220000,250400,305400,386600,410200,456000,482000,584000,678600,,,,,,,
30,159000,177000,193600,226800,258000,314400,398200,422600,469600,496400,601600,699000,,,,,,,
31,164000,182400,199200,233400,265800,323800,410200,435400,483600,511400,619600,720000,,,,,,,
32,168800,188000,205200,240600,273800,333600,422600,448600,498200,526800,638000,741400,,,,,,,
33,173800,193600,211400,247800,282000,343600,435400,462200,513200,542600,657200,763600,,,,,,,
34,179000,199200,217800,255400,290600,353800,448600,476000,528600,558800,676800,786600,,,,,,,
35,184200,205200,224000,262800,299200,364400,462200,490400,544400,575600,697200,,,,,,,,
36,189800,211400,230800,270800,308400,375200,476000,505000,560600,593000,718200,,,,,,,,
37,195600,217800,237600,279000,317800,386600,490400,520000,577600,610600,739600,,,,,,,,
38,201600,224000,244800,287200,327200,398200,505000,535400,594800,629000,761800,,,,,,,,
39,207600,230800,252200,296000,336800,410200,520000,551600,612600,647800,784800,,,,,,,,
40,214000,237600,259800,305000,347000,422600,535400,568200,631000,667400,,,,,,,,,
